Date,Close,High,Low,Open,Volume,Symbol,Security Name
,AEC,AEC,AEC,AEC,AEC,,
2015-11-09,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-11-10,60.0,60.0,52.5,52.5,2,AEC,Anfield Energy Inc. - Common Shares
2015-11-11,60.0,60.0,60.0,60.0,9,AEC,Anfield Energy Inc. - Common Shares
2015-11-12,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-11-13,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-11-16,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-11-17,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-11-18,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-11-19,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-11-20,112.5,112.5,60.0,60.0,36,AEC,Anfield Energy Inc. - Common Shares
2015-11-23,112.5,112.5,112.5,112.5,0,AEC,Anfield Energy Inc. - Common Shares
2015-11-24,112.5,112.5,112.5,112.5,0,AEC,Anfield Energy Inc. - Common Shares
2015-11-25,112.5,112.5,112.5,112.5,0,AEC,Anfield Energy Inc. - Common Shares
2015-11-27,112.5,112.5,112.5,112.5,0,AEC,Anfield Energy Inc. - Common Shares
2015-11-30,112.5,112.5,112.5,112.5,0,AEC,Anfield Energy Inc. - Common Shares
2015-12-01,60.0,60.0,60.0,60.0,2,AEC,Anfield Energy Inc. - Common Shares
2015-12-02,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-12-03,60.0,60.0,60.0,60.0,9,AEC,Anfield Energy Inc. - Common Shares
2015-12-04,60.0,60.0,52.5,52.5,45,AEC,Anfield Energy Inc. - Common Shares
2015-12-07,67.5,67.5,67.5,67.5,13,AEC,Anfield Energy Inc. - Common Shares
2015-12-08,67.5,67.5,67.5,67.5,0,AEC,Anfield Energy Inc. - Common Shares
2015-12-09,67.5,67.5,67.5,67.5,0,AEC,Anfield Energy Inc. - Common Shares
2015-12-10,67.5,67.5,67.5,67.5,0,AEC,Anfield Energy Inc. - Common Shares
2015-12-11,45.0,45.0,45.0,45.0,9,AEC,Anfield Energy Inc. - Common Shares
2015-12-14,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-12-15,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-12-16,67.5,67.5,45.0,45.0,28,AEC,Anfield Energy Inc. - Common Shares
2015-12-17,67.5,67.5,67.5,67.5,0,AEC,Anfield Energy Inc. - Common Shares
2015-12-18,45.0,45.0,45.0,45.0,10,AEC,Anfield Energy Inc. - Common Shares
2015-12-21,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-12-22,60.0,60.0,60.0,60.0,4,AEC,Anfield Energy Inc. - Common Shares
2015-12-23,45.0,45.0,45.0,45.0,7,AEC,Anfield Energy Inc. - Common Shares
2015-12-24,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-12-28,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2015-12-29,52.5,52.5,52.5,52.5,1,AEC,Anfield Energy Inc. - Common Shares
2015-12-30,52.5,52.5,52.5,52.5,0,AEC,Anfield Energy Inc. - Common Shares
2015-12-31,67.5,67.5,67.5,67.5,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-04,67.5,67.5,67.5,67.5,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-05,67.5,67.5,67.5,67.5,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-06,67.5,67.5,67.5,67.5,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-07,52.5,52.5,52.5,52.5,4,AEC,Anfield Energy Inc. - Common Shares
2016-01-08,52.5,52.5,52.5,52.5,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-11,52.5,52.5,52.5,52.5,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-12,52.5,52.5,52.5,52.5,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-13,52.5,52.5,52.5,52.5,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-14,52.5,52.5,52.5,52.5,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-15,52.5,52.5,52.5,52.5,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-19,52.5,52.5,52.5,52.5,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-20,52.5,52.5,52.5,52.5,5,AEC,Anfield Energy Inc. - Common Shares
2016-01-21,52.5,52.5,52.5,52.5,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-22,60.0,60.0,60.0,60.0,1,AEC,Anfield Energy Inc. - Common Shares
2016-01-25,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-26,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-27,60.0,60.0,60.0,60.0,21,AEC,Anfield Energy Inc. - Common Shares
2016-01-28,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-01-29,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-01,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-02,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-03,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-04,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-05,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-08,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-09,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-10,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-11,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-12,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-16,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-17,60.0,60.0,60.0,60.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-18,45.0,45.0,45.0,45.0,16,AEC,Anfield Energy Inc. - Common Shares
2016-02-19,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-22,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-23,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-24,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-25,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-26,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-02-29,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-03-01,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-03-02,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-03-03,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
2016-03-04,45.0,45.0,45.0,45.0,13,AEC,Anfield Energy Inc. - Common Shares
2016-03-07,45.0,45.0,45.0,45.0,0,AEC,Anfield Energy Inc. - Common Shares
