Date,Close,High,Low,Open,Volume,Symbol,Security Name
,AEMD,AEMD,AEMD,AEMD,AEMD,,
2015-11-09,84360.0,90720.0,84360.0,90720.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-10,90720.0,96000.0,84600.0,84600.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-11,84120.0,88080.0,84120.0,88080.0,3,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-12,86160.0,90000.0,84240.0,84240.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-13,84600.0,88680.0,84120.0,86520.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-16,87240.0,88920.0,84600.0,85680.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-17,85080.0,88080.0,84120.0,88080.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-18,86760.0,89040.0,85080.0,86160.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-19,86880.0,87720.0,84240.0,87720.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-20,89880.0,90840.0,85320.0,85320.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-23,89760.0,90000.0,87600.0,87600.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-24,89520.0,90000.0,88800.0,88920.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-25,87240.0,89400.0,85200.0,89160.0,3,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-27,89640.0,90120.0,87600.0,88800.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-11-30,86880.0,88920.0,86280.0,86400.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-01,89280.0,90120.0,86880.0,86880.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-02,86040.0,89160.0,85320.0,87120.0,5,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-03,86520.0,88800.0,85200.0,88800.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-04,86280.0,89280.0,85200.0,86040.0,5,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-07,87360.0,89160.0,84360.0,85680.0,12,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-08,86160.0,89160.0,85440.0,88200.0,6,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-09,84720.0,87000.0,84600.0,86640.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-10,81960.0,86640.0,81720.0,84240.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-11,79920.0,82800.0,79200.0,81840.0,8,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-14,74040.0,79560.0,73680.0,78960.0,5,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-15,77280.0,77760.0,73680.0,74400.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-16,83280.0,83880.0,75720.0,77400.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-17,83040.0,83160.0,79800.0,80880.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-18,86400.0,90000.0,81720.0,82320.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-21,84240.0,86880.0,81120.0,86640.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-22,85680.0,89520.0,84360.0,84360.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-23,86040.0,90000.0,85320.0,86400.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-24,86280.0,86280.0,84240.0,84240.0,0,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-28,84960.0,88680.0,82440.0,85200.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-29,81240.0,85680.0,79440.0,85680.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-30,77520.0,85080.0,74760.0,81600.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2015-12-31,81480.0,81840.0,75480.0,77520.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2016-01-04,75600.0,83040.0,74640.0,83040.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2016-01-05,84120.0,86520.0,77040.0,77040.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2016-01-06,81000.0,87480.0,77760.0,82440.0,3,AEMD,"Aethlon Medical, Inc. - Common Stock"
2016-01-07,80880.0,83760.0,79200.0,79320.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2016-01-08,79440.0,87000.0,76080.0,81600.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2016-01-11,78720.0,80040.0,76920.0,77400.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2016-01-12,82440.0,82800.0,75000.0,79080.0,2,AEMD,"Aethlon Medical, Inc. - Common Stock"
2016-01-13,76920.0,82560.0,75240.0,82560.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
2016-01-14,75840.0,78000.0,75360.0,77400.0,1,AEMD,"Aethlon Medical, Inc. - Common Stock"
