Date,Close,High,Low,Open,Volume,Symbol,Security Name
,ASRV,ASRV,ASRV,ASRV,ASRV,,
2015-11-09,2.4533395767211914,2.4984930229336673,2.4232372792462074,2.4984930229336673,19400,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-10,2.490967035293579,2.490967035293579,2.483441462173386,2.490967035293579,1800,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-11,2.490967035293579,2.5361204740147385,2.468390315932999,2.5361204740147385,4500,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-12,2.4834423065185547,2.513544609233805,2.4834423065185547,2.4834423065185547,3200,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-13,2.498493194580078,2.536121069008842,2.4307630206083033,2.4458141703798084,3800,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-16,2.4533395767211914,2.5060185973024134,2.4458140023524453,2.5060185973024134,16300,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-17,2.4759159088134766,2.490967055173986,2.4533391892727123,2.490967055173986,2800,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-18,2.4759159088134766,2.5511718200398428,2.460864762452967,2.460864762452967,22300,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-19,2.4834423065185547,2.513544609233805,2.460865579482117,2.4759167308397423,7300,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-20,2.4834423065185547,2.5436470913729328,2.4759167308397423,2.4759167308397423,2800,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-23,2.4382882118225098,2.521069522539917,2.423237064419345,2.460864932927257,23500,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-24,2.4533395767211914,2.4834418741961755,2.4533395767211914,2.4834418741961755,2200,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-25,2.468390703201294,2.513544149006623,2.468390703201294,2.4759162775021823,7100,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-27,2.4834423065185547,2.4909678821973675,2.4533400038033046,2.4759167308397423,3400,ASRV,AmeriServ Financial Inc. - Common Stock
2015-11-30,2.5135440826416016,2.5210696567437925,2.483441786232839,2.4909673603350297,6000,ASRV,AmeriServ Financial Inc. - Common Stock
2015-12-01,2.50601863861084,2.5586978394842554,2.475916340639659,2.5586978394842554,22700,ASRV,AmeriServ Financial Inc. - Common Stock
2015-12-02,2.5210702419281006,2.5436471488990056,2.506019090230085,2.5436471488990056,1100,ASRV,AmeriServ Financial Inc. - Common Stock
2015-12-03,2.50601863861084,2.5361209365820208,2.4909674896252496,2.50601863861084,1600,ASRV,AmeriServ Financial Inc. - Common Stock
2015-12-04,2.4759159088134766,2.543646246859588,2.4759159088134766,2.5060182015344963,5100,ASRV,AmeriServ Financial Inc. - Common Stock
2015-12-07,2.4608652591705322,2.513544282065404,2.4608652591705322,2.4759164085690673,3700,ASRV,AmeriServ Financial Inc. - Common Stock
2015-12-08,2.5135440826416016,2.5135440826416016,2.4909673603350297,2.506018508539411,1100,ASRV,AmeriServ Financial Inc. - Common Stock
2015-12-09,2.4834423065185547,2.5210701849126176,2.445814428124492,2.5060190335549923,9600,ASRV,AmeriServ Financial Inc. - Common Stock
2015-12-10,2.528594970703125,2.528594970703125,2.4984926773912983,2.528594970703125,2300,ASRV,AmeriServ Financial Inc. - Common Stock
2015-12-11,2.4458134174346924,2.5210691431247003,2.4458134174346924,2.490966852848697,7700,ASRV,AmeriServ Financial Inc. - Common Stock
2015-12-14,2.4458134174346924,2.5060179979866986,2.4307622722966906,2.4458134174346924,11100,ASRV,AmeriServ Financial Inc. - Common Stock
