Date,Close,High,Low,Open,Volume,Symbol,Security Name
,BLRX,BLRX,BLRX,BLRX,BLRX,,
2015-11-09,834.0,852.0,798.0,840.0,300,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-10,798.0,828.0,786.0,816.0,337,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-11,780.0,798.0,768.0,792.0,171,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-12,780.0,792.0,762.0,762.0,142,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-13,780.0,798.0,756.0,780.0,99,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-16,774.0,816.0,762.0,780.0,230,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-17,744.0,792.0,738.0,786.0,325,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-18,768.0,786.0,744.0,750.0,245,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-19,756.0,774.0,738.0,774.0,475,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-20,750.0,762.0,708.0,744.0,544,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-23,780.0,786.0,720.0,762.0,387,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-24,762.0,792.0,756.0,792.0,179,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-25,786.0,792.0,756.0,780.0,492,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-27,834.0,960.0,768.0,798.0,416,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-11-30,798.0,840.0,786.0,840.0,382,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-01,888.0,888.0,822.0,870.0,895,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-02,972.0,978.0,906.0,912.0,800,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-03,924.0,978.0,858.0,978.0,422,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-04,912.0,942.0,876.0,942.0,262,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-07,876.0,900.0,852.0,900.0,342,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-08,846.0,870.0,822.0,858.0,226,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-09,792.0,846.0,792.0,834.0,412,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-10,804.0,822.0,780.0,810.0,229,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-11,780.0,822.0,768.0,792.0,223,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-14,756.0,804.0,756.0,774.0,201,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-15,768.0,786.0,756.0,780.0,90,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-16,804.0,816.0,780.0,786.0,163,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-17,786.0,840.0,786.0,786.0,176,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-18,798.0,816.0,780.0,786.0,195,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-21,810.0,828.0,792.0,822.0,173,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-22,804.0,840.0,786.0,792.0,183,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-23,816.0,828.0,798.0,798.0,77,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-24,810.0,828.0,786.0,810.0,203,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-28,774.0,804.0,774.0,786.0,283,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-29,750.0,780.0,750.0,774.0,489,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-30,774.0,792.0,750.0,750.0,441,BLRX,BioLineRx Ltd. - American Depositary Shares
2015-12-31,780.0,780.0,750.0,750.0,331,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-04,780.0,780.0,732.0,756.0,255,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-05,738.0,774.0,738.0,774.0,264,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-06,708.0,738.0,708.0,738.0,308,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-07,660.0,708.0,660.0,696.0,405,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-08,672.0,702.0,636.0,666.0,483,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-11,618.0,702.0,612.0,678.0,646,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-12,654.0,762.0,612.0,720.0,3029,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-13,636.0,666.0,600.0,660.0,766,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-14,606.0,630.0,594.0,624.0,368,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-15,576.0,606.0,534.0,606.0,435,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-19,570.0,624.0,540.0,564.0,375,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-20,564.0,564.0,510.0,528.0,398,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-21,576.0,594.0,540.0,594.0,136,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-22,618.0,630.0,570.0,576.0,195,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-25,630.0,648.0,606.0,606.0,225,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-26,654.0,660.0,588.0,636.0,147,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-27,636.0,648.0,618.0,642.0,88,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-28,600.0,624.0,564.0,624.0,125,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-01-29,618.0,624.0,582.0,606.0,161,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-01,600.0,612.0,582.0,594.0,32,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-02,594.0,606.0,588.0,588.0,81,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-03,606.0,624.0,588.0,624.0,76,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-04,606.0,630.0,582.0,594.0,129,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-05,600.0,624.0,594.0,600.0,65,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-08,594.0,600.0,582.0,600.0,62,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-09,576.0,606.0,534.0,588.0,157,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-10,552.0,600.0,540.0,558.0,95,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-11,546.0,582.0,534.0,546.0,147,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-12,540.0,546.0,534.0,534.0,152,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-16,552.0,588.0,534.0,546.0,186,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-17,582.0,588.0,528.0,570.0,224,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-18,588.0,606.0,558.0,582.0,88,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-19,588.0,600.0,576.0,576.0,60,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-22,600.0,606.0,576.0,582.0,109,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-23,594.0,600.0,570.0,594.0,60,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-24,588.0,594.0,576.0,576.0,65,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-25,588.0,600.0,576.0,582.0,126,BLRX,BioLineRx Ltd. - American Depositary Shares
2016-02-26,618.0,624.0,576.0,576.0,77,BLRX,BioLineRx Ltd. - American Depositary Shares
