Date,Close,High,Low,Open,Volume,Symbol,Security Name
,CLMT,CLMT,CLMT,CLMT,CLMT,,
2015-11-09,25.116043090820312,25.423978953149284,24.808107228491338,25.404732502893093,234300,CLMT,"Calumet, Inc - Common Stock"
2015-11-10,24.89471435546875,25.385485987647556,24.808107164980136,25.22189483177378,138500,CLMT,"Calumet, Inc - Common Stock"
2015-11-11,24.50016975402832,24.89471464610626,24.211480339324257,24.865844970458838,235300,CLMT,"Calumet, Inc - Common Stock"
2015-11-12,23.980527877807617,24.490547789623363,23.78806704889234,24.201856546250443,302000,CLMT,"Calumet, Inc - Common Stock"
2015-11-13,24.663761138916016,24.981320232191585,23.951658985372088,24.16336627118417,255900,CLMT,"Calumet, Inc - Common Stock"
2015-11-16,25.356618881225586,25.741538719285263,24.375071917591484,24.94282936702047,431600,CLMT,"Calumet, Inc - Common Stock"
2015-11-17,25.106420516967773,25.55870109706557,24.452055874822836,24.923582905676085,216500,CLMT,"Calumet, Inc - Common Stock"
2015-11-18,25.443225860595703,25.683800986793432,25.11604354213139,25.587570569225832,151000,CLMT,"Calumet, Inc - Common Stock"
2015-11-19,25.298879623413086,25.52020828563616,25.164156312781373,25.500961836196993,169700,CLMT,"Calumet, Inc - Common Stock"
2015-11-20,24.913959503173828,25.43360265722134,24.788861245037882,25.270011497848145,230200,CLMT,"Calumet, Inc - Common Stock"
2015-11-23,25.250764846801758,25.4336024553423,24.827352113765645,25.2315183963359,214500,CLMT,"Calumet, Inc - Common Stock"
2015-11-24,24.933204650878906,25.597192478983533,24.519415161414322,25.298879851753757,182300,CLMT,"Calumet, Inc - Common Stock"
2015-11-25,24.923582077026367,25.212273322432196,24.634892667063042,24.99094281698831,203500,CLMT,"Calumet, Inc - Common Stock"
2015-11-27,25.077550888061523,25.212274208160856,24.75036856637289,24.75036856637289,57300,CLMT,"Calumet, Inc - Common Stock"
2015-11-30,24.480924606323242,25.212273187827265,24.375070966695326,25.202649962820864,354200,CLMT,"Calumet, Inc - Common Stock"
2015-12-01,24.471302032470703,24.69263070717975,24.16336616584202,24.432809131420846,408500,CLMT,"Calumet, Inc - Common Stock"
2015-12-02,24.047889709472656,24.51941674274358,23.653346644175706,24.442432774769603,726300,CLMT,"Calumet, Inc - Common Stock"
