Date,Close,High,Low,Open,Volume,Symbol,Security Name
,CNVS,CNVS,CNVS,CNVS,CNVS,,
2015-11-09,108.0,112.0,104.0,110.0,1016,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-10,106.0,116.0,104.0,112.0,2195,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-11,102.0,108.0,94.0,106.0,3145,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-12,100.0,108.0,92.0,100.0,455,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-13,98.0,108.0,92.0,94.0,583,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-16,92.0,116.0,86.0,96.0,790,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-17,80.0,96.0,72.0,72.0,2887,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-18,80.0,92.0,74.0,82.0,673,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-19,68.0,86.0,62.0,86.0,9243,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-20,76.0,86.0,66.0,70.0,4420,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-23,78.0,84.0,72.0,72.0,402,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-24,84.0,86.0,80.0,80.0,1274,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-25,82.0,88.0,78.0,86.0,1414,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-27,90.0,90.0,80.0,84.0,430,CNVS,Cineverse Corp. - Class A Common Stock
2015-11-30,76.0,90.0,72.0,90.0,2638,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-01,78.0,90.0,76.0,76.0,121,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-02,82.0,90.0,78.0,78.0,847,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-03,74.0,88.0,72.0,82.0,1451,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-04,72.0,76.0,70.0,72.0,929,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-07,70.0,78.0,70.0,70.0,77,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-08,74.0,90.0,70.0,70.0,4556,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-09,74.0,80.0,70.0,76.0,811,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-10,68.0,76.0,64.0,70.0,2721,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-11,62.0,68.0,62.0,68.0,1249,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-14,58.0,66.0,56.0,60.0,1360,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-15,56.0,62.0,52.0,60.0,522,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-16,58.0,66.0,54.0,54.0,1285,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-17,54.0,66.0,52.0,60.0,906,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-18,58.0,60.0,52.0,52.0,739,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-21,54.0,64.0,54.0,64.0,872,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-22,52.0,60.0,48.0,56.0,1661,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-23,52.0,54.0,48.0,50.0,2597,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-24,58.0,58.0,48.0,54.0,358,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-28,52.0,58.0,50.0,58.0,1740,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-29,52.0,54.0,50.0,50.0,4772,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-30,50.0,52.0,50.0,50.0,2081,CNVS,Cineverse Corp. - Class A Common Stock
2015-12-31,52.0,60.0,48.0,50.0,2772,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-04,54.0,70.0,54.0,54.0,2770,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-05,60.0,62.0,56.0,56.0,277,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-06,52.0,60.0,52.0,58.0,514,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-07,56.0,58.0,50.0,52.0,1197,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-08,54.0,60.0,50.0,60.0,492,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-11,54.0,54.0,50.0,54.0,431,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-12,50.0,54.0,50.0,52.0,425,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-13,50.0,54.0,48.0,54.0,615,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-14,54.0,54.0,44.0,44.0,750,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-15,50.0,54.0,44.0,52.0,167,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-19,52.0,54.0,48.0,48.0,48,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-20,52.0,54.0,44.0,50.0,129,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-21,52.0,54.0,46.0,46.0,33,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-22,54.0,54.0,50.0,54.0,313,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-25,58.0,60.0,50.0,56.0,637,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-26,54.0,60.0,50.0,60.0,2758,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-27,58.0,62.0,54.0,60.0,483,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-28,62.0,64.0,56.0,58.0,230,CNVS,Cineverse Corp. - Class A Common Stock
2016-01-29,58.0,64.0,56.0,64.0,607,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-01,60.0,62.0,56.0,58.0,76,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-02,58.0,60.0,54.0,58.0,127,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-03,54.0,62.0,54.0,60.0,361,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-04,50.0,60.0,48.0,60.0,401,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-05,50.0,58.0,48.0,52.0,408,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-08,46.0,56.0,30.0,52.0,1023,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-09,44.0,50.0,40.0,46.0,222,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-10,48.0,54.0,44.0,52.0,1415,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-11,48.0,50.0,48.0,50.0,216,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-12,48.0,52.0,48.0,52.0,254,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-16,48.0,48.0,40.0,46.0,825,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-17,48.0,50.0,44.0,48.0,673,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-18,44.0,48.0,44.0,48.0,590,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-19,46.0,50.0,46.0,50.0,1527,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-22,48.0,48.0,46.0,46.0,488,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-23,44.0,58.0,44.0,58.0,821,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-24,46.0,54.0,46.0,54.0,758,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-25,52.0,60.0,48.0,50.0,716,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-26,52.0,58.0,50.0,52.0,770,CNVS,Cineverse Corp. - Class A Common Stock
2016-02-29,52.0,58.0,52.0,54.0,1445,CNVS,Cineverse Corp. - Class A Common Stock
2016-03-01,58.0,58.0,54.0,54.0,936,CNVS,Cineverse Corp. - Class A Common Stock
2016-03-02,58.0,58.0,56.0,58.0,663,CNVS,Cineverse Corp. - Class A Common Stock
2016-03-03,60.0,62.0,58.0,60.0,654,CNVS,Cineverse Corp. - Class A Common Stock
2016-03-04,60.0,62.0,58.0,58.0,1518,CNVS,Cineverse Corp. - Class A Common Stock
