Date,Close,High,Low,Open,Volume,Symbol,Security Name
,CVGW,CVGW,CVGW,CVGW,CVGW,,
2015-11-09,43.95411682128906,44.096145319493594,43.160418968597185,43.73689264077061,121900,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-10,43.8956298828125,44.27994562713288,43.35257267104889,43.88727339133249,153400,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-11,43.81209182739258,44.22982726765514,42.90978493370106,44.0627356412049,126400,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-12,42.97661209106445,43.63663471557082,42.61735943150113,43.58650532572437,468900,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-13,43.256690979003906,43.57069782765589,42.04309317991763,42.705054438540095,98200,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-16,43.2142448425293,43.52825485545494,42.46741809199045,43.22273334959047,61200,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-17,43.468841552734375,44.09685500691129,42.62865754116469,43.366998908205915,77700,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-18,44.21567153930664,44.25810759645134,43.112402039293706,43.502789160658544,81700,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-19,44.56362533569336,44.648494211603904,44.10534635544278,44.15626444357251,96400,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-20,45.335914611816406,45.81965911428485,44.7757929766292,44.86066185312218,128200,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-23,45.896034240722656,46.26095903699106,45.07282403858526,45.395319257579736,109800,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-24,46.65135192871094,46.71075852004492,45.717813766832094,45.84511545535716,158000,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-25,47.35574722290039,47.67824246971296,46.642864867397954,46.719245235395235,171800,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-27,47.618831634521484,47.96678589386424,47.2793626431263,47.42363809756493,20700,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-11-30,48.0177116394043,48.323229874918916,47.567914698737205,47.814029578311356,164300,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-01,47.18601608276367,48.246852804385306,46.7192485727335,48.09409205747845,118900,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-02,45.946956634521484,47.22844912535224,45.47170388553338,47.084173656969035,89700,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-03,45.24256896972656,46.46465179671807,44.911585169004596,45.93847765088496,101100,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-04,46.46464920043945,46.600436173629,45.157697560104594,45.31045830961993,79000,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-07,46.142154693603516,46.481623750939804,45.25105246486684,46.33734826847598,158000,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-08,46.44767761230469,46.95688121381711,45.70933611314118,45.97242156504315,91400,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-09,46.65135192871094,46.8804930256062,45.67538094979588,46.49010269159033,110400,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-10,45.030399322509766,46.524056035181495,44.49573669649037,46.524056035181495,176900,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-11,44.292049407958984,45.48867298623268,43.961068900392114,44.342970731206364,141800,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-14,42.67109298706055,44.597572759645345,42.382545284615766,44.461785795989954,236900,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-15,43.18878173828125,43.64706395401903,41.805449822220865,42.82385366694375,198200,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-16,45.06433868408203,45.47170279835586,43.18878030185864,43.528249317948,160900,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-17,44.665470123291016,46.031828335350866,41.796966728635866,45.32743119997423,207200,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-18,42.37405776977539,44.98795749094951,42.31465117866346,44.39389157983022,303100,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-21,41.63571548461914,44.088369152982736,41.03315784345309,42.68806356477127,182200,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-22,41.457496643066406,42.280706952323094,40.38817468161527,41.8988050955846,328900,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-23,42.90872573852539,43.24819155377352,41.27927881811718,41.737561067989816,193700,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-24,42.58623123168945,42.89175273712475,42.34860483298061,42.81537236076592,34000,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-28,42.985103607177734,43.4264088175275,42.47590005787037,42.47590005787037,78200,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-29,42.017608642578125,45.16617368327523,39.8280438955564,42.993579470509495,810200,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-30,42.02610778808594,44.105348401825545,41.313225384444266,41.593284594401666,315100,CVGW,"Calavo Growers, Inc. - Common Stock"
2015-12-31,41.58479309082031,42.71352474295952,41.041645290885995,41.93274735249175,189400,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-04,41.12651443481445,43.3415418760942,40.18449097243879,41.160461984565195,488500,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-05,41.69512176513672,42.2976761644167,40.28633091915249,41.126511675913854,339600,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-06,42.187347412109375,42.849311624968436,40.50698269469716,41.26229780512113,379400,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-07,40.83795928955078,43.451861870188814,40.76157893524861,43.451861870188814,500800,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-08,41.3132209777832,41.78847694199021,40.46455169432408,41.177434021926395,337000,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-11,41.949729919433594,42.52682538718882,40.79553898392314,41.321713120729285,264800,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-12,42.628662109375,42.94266887011333,41.81394029033769,42.23827497576338,303100,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-13,42.22978591918945,44.62303649224908,42.07702841284879,42.78142229802619,284900,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-14,43.01055908203125,44.088369448920155,41.864856856652466,42.323135804354166,171900,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-15,42.99359130859375,43.07845695290474,41.7715085484647,42.27222361969989,276100,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-19,44.32599639892578,44.58908504293482,43.12937283571219,43.43489429651845,204200,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-20,44.39389419555664,44.9794748727699,42.645634195409194,43.4094378938757,271000,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-21,43.7149543762207,44.94552551314278,43.248186907020326,44.56362367928193,282000,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-22,44.11383056640625,44.24113225851088,43.367000663386555,43.91863701261793,137600,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-25,42.79839324951172,44.16475134661267,42.628658741268886,44.028964387501695,135300,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-26,43.43490982055664,43.78286422252225,42.323151493584795,43.08695541859103,147900,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-27,42.255252838134766,43.443388129780075,41.90729849193204,43.273656829128626,110900,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-28,42.33162307739258,42.968125014605626,41.77150150214174,42.637144525241446,126300,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-01-29,43.91864013671875,44.03745333117923,42.19584234220826,42.30616702996914,282700,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-02-01,45.18315887451172,45.59051978534596,43.48582012732733,43.69798747072538,166100,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-02-02,43.112396240234375,44.91157410151299,42.84082234560425,44.62302967120765,112500,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-02-03,42.917213439941406,43.32457438377268,42.11946532961563,43.32457438377268,111100,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-02-04,41.79697036743164,43.231220570915,41.449016022803505,42.73899397390261,89400,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-02-05,40.57488250732422,41.88183083681554,40.46455458611339,41.712099557927026,149500,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-02-08,41.398094177246094,41.71210420045552,40.10811624213667,40.29482455459449,88500,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-02-09,41.949729919433594,42.32314330080941,40.846460314872225,41.13500804874984,97300,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-02-10,40.430606842041016,42.36557190138389,40.0996263174078,42.2212996675352,190500,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-02-11,40.9228401184082,41.194414071492396,39.91292144529803,40.048708421840125,87200,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-02-12,42.187347412109375,42.24675400029444,40.439090838521196,41.62722583963864,105000,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-02-16,42.10248565673828,42.560767868407346,41.457495157926296,42.36557107507617,151900,CVGW,"Calavo Growers, Inc. - Common Stock"
2016-02-17,43.09542465209961,43.70646756470562,41.941233922695524,42.161889746654964,154300,CVGW,"Calavo Growers, Inc. - Common Stock"
