Date,Close,High,Low,Open,Volume,Symbol,Security Name
,FIEE,FIEE,FIEE,FIEE,FIEE,,
2015-11-09,42.25,50.5,42.0,46.0,532,FIEE,"FiEE, Inc - Common Stock"
2015-11-10,47.25,47.25,43.0,43.0,28,FIEE,"FiEE, Inc - Common Stock"
2015-11-11,46.5,46.5,46.5,46.5,12,FIEE,"FiEE, Inc - Common Stock"
2015-11-12,47.25,48.75,44.0,46.5,152,FIEE,"FiEE, Inc - Common Stock"
2015-11-13,47.0,47.5,44.0,44.0,36,FIEE,"FiEE, Inc - Common Stock"
2015-11-16,45.5,46.25,44.0,46.25,20,FIEE,"FiEE, Inc - Common Stock"
2015-11-17,45.25,45.25,42.5,45.0,164,FIEE,"FiEE, Inc - Common Stock"
2015-11-18,43.75,44.25,43.75,43.75,24,FIEE,"FiEE, Inc - Common Stock"
2015-11-19,44.25,44.5,39.5,42.5,1312,FIEE,"FiEE, Inc - Common Stock"
2015-11-20,44.5,46.75,44.5,45.0,1772,FIEE,"FiEE, Inc - Common Stock"
2015-11-23,43.0,44.5,42.5,44.5,1980,FIEE,"FiEE, Inc - Common Stock"
2015-11-24,44.5,44.5,43.75,43.75,8,FIEE,"FiEE, Inc - Common Stock"
2015-11-25,47.0,47.0,44.5,44.5,304,FIEE,"FiEE, Inc - Common Stock"
2015-11-27,45.0,46.0,45.0,45.0,1412,FIEE,"FiEE, Inc - Common Stock"
2015-11-30,45.0,47.0,45.0,45.0,608,FIEE,"FiEE, Inc - Common Stock"
2015-12-01,47.0,47.0,44.25,45.0,544,FIEE,"FiEE, Inc - Common Stock"
2015-12-02,50.0,51.0,45.5,45.5,1020,FIEE,"FiEE, Inc - Common Stock"
2015-12-03,50.0,50.75,46.25,46.25,224,FIEE,"FiEE, Inc - Common Stock"
2015-12-04,52.0,52.0,50.0,50.0,1252,FIEE,"FiEE, Inc - Common Stock"
2015-12-07,53.5,53.5,50.25,52.0,332,FIEE,"FiEE, Inc - Common Stock"
2015-12-08,51.75,53.5,49.5,53.5,344,FIEE,"FiEE, Inc - Common Stock"
2015-12-09,51.75,52.0,50.25,51.25,840,FIEE,"FiEE, Inc - Common Stock"
2015-12-10,52.25,52.5,51.25,51.5,1460,FIEE,"FiEE, Inc - Common Stock"
2015-12-11,51.25,51.25,51.25,51.25,4,FIEE,"FiEE, Inc - Common Stock"
2015-12-14,53.0,53.0,51.25,51.25,296,FIEE,"FiEE, Inc - Common Stock"
2015-12-15,53.75,53.75,51.25,51.25,368,FIEE,"FiEE, Inc - Common Stock"
2015-12-16,54.0,54.0,51.25,51.5,192,FIEE,"FiEE, Inc - Common Stock"
2015-12-17,53.75,54.75,51.25,51.25,432,FIEE,"FiEE, Inc - Common Stock"
2015-12-18,60.0,60.5,52.75,52.75,1176,FIEE,"FiEE, Inc - Common Stock"
2015-12-21,60.75,60.75,57.25,57.25,412,FIEE,"FiEE, Inc - Common Stock"
2015-12-22,58.75,58.75,56.25,57.75,436,FIEE,"FiEE, Inc - Common Stock"
2015-12-23,53.75,57.5,53.75,56.0,340,FIEE,"FiEE, Inc - Common Stock"
2015-12-24,53.75,53.75,53.75,53.75,4,FIEE,"FiEE, Inc - Common Stock"
2015-12-28,53.75,53.75,53.75,53.75,12,FIEE,"FiEE, Inc - Common Stock"
2015-12-29,53.75,53.75,53.75,53.75,16,FIEE,"FiEE, Inc - Common Stock"
2015-12-30,54.5,54.5,53.0,53.75,68,FIEE,"FiEE, Inc - Common Stock"
2015-12-31,58.0,60.75,53.75,53.75,676,FIEE,"FiEE, Inc - Common Stock"
2016-01-04,53.75,56.75,52.5,56.75,288,FIEE,"FiEE, Inc - Common Stock"
2016-01-05,57.5,57.5,53.75,53.75,28,FIEE,"FiEE, Inc - Common Stock"
2016-01-06,52.5,56.25,51.25,54.5,444,FIEE,"FiEE, Inc - Common Stock"
2016-01-07,52.75,52.75,52.75,52.75,40,FIEE,"FiEE, Inc - Common Stock"
2016-01-08,51.25,51.25,51.25,51.25,96,FIEE,"FiEE, Inc - Common Stock"
2016-01-11,51.25,53.0,51.25,51.25,256,FIEE,"FiEE, Inc - Common Stock"
2016-01-12,47.5,53.0,42.75,51.25,1192,FIEE,"FiEE, Inc - Common Stock"
2016-01-13,46.75,48.5,43.25,47.5,568,FIEE,"FiEE, Inc - Common Stock"
2016-01-14,46.25,46.75,46.25,46.75,428,FIEE,"FiEE, Inc - Common Stock"
2016-01-15,45.0,45.25,43.0,45.25,1100,FIEE,"FiEE, Inc - Common Stock"
2016-01-19,44.0,44.0,44.0,44.0,8,FIEE,"FiEE, Inc - Common Stock"
2016-01-20,44.0,44.0,36.25,44.0,472,FIEE,"FiEE, Inc - Common Stock"
2016-01-21,43.75,43.75,43.75,43.75,4,FIEE,"FiEE, Inc - Common Stock"
2016-01-22,46.25,51.5,43.75,44.0,556,FIEE,"FiEE, Inc - Common Stock"
2016-01-25,39.75,50.0,39.75,50.0,428,FIEE,"FiEE, Inc - Common Stock"
2016-01-26,41.25,42.5,38.75,42.5,652,FIEE,"FiEE, Inc - Common Stock"
