Date,Close,High,Low,Open,Volume,Symbol,Security Name
,FTFT,FTFT,FTFT,FTFT,FTFT,,
2015-11-09,396.0,412.0,392.0,412.0,11,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-10,384.0,396.0,384.0,396.0,8,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-11,372.0,384.0,372.0,384.0,72,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-12,372.0,388.0,360.0,380.0,46,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-13,380.0,400.0,380.0,400.0,7,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-16,272.0,368.0,200.0,368.0,705,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-17,248.0,264.0,240.0,264.0,272,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-18,236.0,256.0,232.0,252.0,123,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-19,216.0,228.0,200.0,228.0,189,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-20,212.0,244.0,200.0,228.0,183,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-23,236.0,240.0,204.0,212.0,62,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-24,236.0,236.0,212.0,236.0,68,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-25,228.0,288.0,224.0,224.0,59,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-27,204.0,228.0,200.0,228.0,133,FTFT,Future FinTech Group Inc. - Common Stock
2015-11-30,204.0,252.0,204.0,204.0,242,FTFT,Future FinTech Group Inc. - Common Stock
2015-12-01,224.0,284.0,212.0,228.0,1391,FTFT,Future FinTech Group Inc. - Common Stock
2015-12-02,240.0,256.0,228.0,232.0,327,FTFT,Future FinTech Group Inc. - Common Stock
2015-12-03,252.0,256.0,240.0,240.0,221,FTFT,Future FinTech Group Inc. - Common Stock
2015-12-04,300.0,320.0,256.0,260.0,827,FTFT,Future FinTech Group Inc. - Common Stock
2015-12-07,272.0,300.0,264.0,300.0,190,FTFT,Future FinTech Group Inc. - Common Stock
