Date,Close,High,Low,Open,Volume,Symbol,Security Name
,GMGI,GMGI,GMGI,GMGI,GMGI,,
2015-11-09,337500.0,573750.0,337500.0,573750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-10,337500.0,337500.0,337500.0,337500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-11,337500.0,337500.0,337500.0,337500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-12,337500.0,337500.0,337500.0,337500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-13,337500.0,337500.0,337500.0,337500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-16,168750.0,168750.0,168750.0,168750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-17,168750.0,168750.0,168750.0,168750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-18,168750.0,168750.0,168750.0,168750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-19,1181250.0,1653750.0,843750.0,1350000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-20,1350000.0,5062500.0,1282500.0,1518750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-23,1417500.0,1687500.0,1215000.0,1282500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-24,1113750.0,1653750.0,405000.0,1620000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-25,843750.0,1181250.0,843750.0,877500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-27,1012500.0,1012500.0,978750.0,1012500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-11-30,843750.0,1350000.0,506250.0,1350000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-01,843750.0,843750.0,337500.0,472500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-02,472500.0,675000.0,337500.0,675000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-03,675000.0,675000.0,371250.0,472500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-04,371250.0,675000.0,371250.0,675000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-07,675000.0,675000.0,371250.0,371250.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-08,675000.0,675000.0,675000.0,675000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-09,675000.0,675000.0,675000.0,675000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-10,675000.0,675000.0,371250.0,371250.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-11,675000.0,675000.0,371250.0,371250.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-14,371250.0,405000.0,371250.0,405000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-15,337500.0,337500.0,337500.0,337500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-16,337500.0,337500.0,236250.0,236250.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-17,337500.0,506250.0,270000.0,337500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-18,405000.0,405000.0,405000.0,405000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-21,236250.0,607500.0,236250.0,405000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-22,506250.0,506250.0,236250.0,270000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-23,270000.0,270000.0,236250.0,236250.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-24,506250.0,506250.0,270000.0,506250.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-28,506250.0,506250.0,506250.0,506250.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-29,236250.0,236250.0,236250.0,236250.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-30,607500.0,607500.0,270000.0,270000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2015-12-31,337500.0,337500.0,270000.0,270000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-04,337500.0,337500.0,337500.0,337500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-05,270000.0,270000.0,270000.0,270000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-06,371250.0,506250.0,337500.0,337500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-07,337500.0,337500.0,236250.0,270000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-08,337500.0,337500.0,270000.0,270000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-11,337500.0,337500.0,337500.0,337500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-12,168750.0,270000.0,168750.0,270000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-13,168750.0,168750.0,168750.0,168750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-14,168750.0,168750.0,168750.0,168750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-15,168750.0,168750.0,168750.0,168750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-19,303750.0,303750.0,168750.0,168750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-20,303750.0,303750.0,303750.0,303750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-21,101250.0,303750.0,101250.0,168750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-22,168750.0,168750.0,135000.0,135000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-25,135000.0,168750.0,135000.0,135000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-26,67500.0,135000.0,67500.0,135000.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-27,67500.0,67500.0,67500.0,67500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-28,33750.0,67500.0,33750.0,67500.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-01-29,33750.0,67500.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-01,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-02,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-03,33750.0,33750.0,33750.0,33750.0,1,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-04,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-05,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-08,33750.0,33750.0,33750.0,33750.0,1,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-09,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-10,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-11,33750.0,33750.0,33750.0,33750.0,1,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-12,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-16,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-17,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-18,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-19,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-22,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-23,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-24,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-25,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-26,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-02-29,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-01,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-02,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-03,33750.0,33750.0,33750.0,33750.0,1,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-04,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-07,33750.0,33750.0,33750.0,33750.0,1,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-08,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-09,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-10,33750.0,33750.0,33750.0,33750.0,7,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-11,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-14,33750.0,33750.0,33750.0,33750.0,1,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-15,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-16,33750.0,33750.0,33750.0,33750.0,1,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-17,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-18,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-21,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-22,33750.0,33750.0,33750.0,33750.0,1,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-23,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-24,33750.0,33750.0,33750.0,33750.0,1,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-28,33750.0,33750.0,33750.0,33750.0,1,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-29,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-30,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-03-31,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-01,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-04,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-05,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-06,33750.0,33750.0,33750.0,33750.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-07,22.5,22.5,22.5,22.5,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-08,900.0,900.0,900.0,900.0,2,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-11,112.5,1912.5,112.5,112.5,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-12,3825.0,3937.5,1687.5,1687.5,2,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-13,3442.5,3870.0,2925.0,3870.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-14,1575.0,2880.0,1575.0,2880.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-15,1372.5,1372.5,1350.0,1350.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-18,3915.0,3915.0,1372.5,1372.5,1,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-19,2565.0,2565.0,2565.0,2565.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-20,1462.5,9000.0,1372.5,1372.5,2,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-21,337.5,1462.5,337.5,1462.5,5,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-22,1125.0,3375.0,382.5,382.5,2,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-25,1125.0,1125.0,1125.0,1125.0,1,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-26,1575.0,1575.0,1575.0,1575.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-27,1687.5,1687.5,1687.5,1687.5,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
2016-04-28,1125.0,1575.0,1125.0,1125.0,0,GMGI,"Golden Matrix Group, Inc. - Common Stock"
