Date,Close,High,Low,Open,Volume,Symbol,Security Name
,NTWK,NTWK,NTWK,NTWK,NTWK,,
2015-11-09,5.889999866485596,5.889999866485596,5.760000228881836,5.820000171661377,11900,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-10,5.820000171661377,5.940000057220459,5.75,5.889999866485596,34800,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-11,5.809999942779541,5.949999809265137,5.699999809265137,5.800000190734863,73600,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-12,5.659999847412109,5.929999828338623,5.610000133514404,5.929999828338623,102800,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-13,5.630000114440918,5.690000057220459,5.599999904632568,5.690000057220459,28000,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-16,5.650000095367432,5.679999828338623,5.599999904632568,5.679999828338623,17300,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-17,5.579999923706055,5.679999828338623,5.510000228881836,5.610000133514404,16300,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-18,5.610000133514404,5.659999847412109,5.53000020980835,5.659999847412109,7900,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-19,5.550000190734863,5.599999904632568,5.53000020980835,5.550000190734863,14100,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-20,5.559999942779541,5.610000133514404,5.550000190734863,5.599999904632568,14400,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-23,5.550000190734863,5.610000133514404,5.510000228881836,5.559999942779541,8700,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-24,5.550000190734863,5.559999942779541,5.519999980926514,5.550000190734863,6700,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-25,5.510000228881836,5.550000190734863,5.440000057220459,5.5,14100,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-27,5.570000171661377,5.570000171661377,5.550000190734863,5.550000190734863,2700,NTWK,NETSOL Technologies Inc. - Common Stock
2015-11-30,5.429999828338623,5.550000190734863,5.420000076293945,5.550000190734863,14900,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-01,5.46999979019165,5.489999771118164,5.420000076293945,5.429999828338623,12000,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-02,5.360000133514404,5.480000019073486,5.360000133514404,5.429999828338623,9300,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-03,5.539999961853027,5.670000076293945,5.440000057220459,5.559999942779541,21400,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-04,5.579999923706055,5.610000133514404,5.5,5.590000152587891,41600,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-07,5.730000019073486,5.800000190734863,5.570000171661377,5.599999904632568,35300,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-08,5.869999885559082,5.889999866485596,5.710000038146973,5.730000019073486,35800,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-09,5.909999847412109,5.960000038146973,5.800000190734863,5.909999847412109,43500,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-10,5.860000133514404,6.090000152587891,5.809999942779541,5.96999979019165,48900,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-11,5.96999979019165,6.090000152587891,5.900000095367432,5.900000095367432,80300,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-14,6.389999866485596,6.400000095367432,6.150000095367432,6.150000095367432,136500,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-15,6.349999904632568,6.519999980926514,6.25,6.340000152587891,78100,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-16,6.5,6.5,6.400000095367432,6.460000038146973,44800,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-17,6.449999809265137,6.5,6.389999866485596,6.5,77100,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-18,6.400000095367432,6.5,6.400000095367432,6.480000019073486,28700,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-21,8.359999656677246,9.5,7.75,7.75,3403100,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-22,7.690000057220459,8.399999618530273,7.679999828338623,8.020000457763672,402700,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-23,8.170000076293945,8.239999771118164,7.409999847412109,7.860000133514404,278400,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-24,8.319999694824219,8.399999618530273,8.130000114440918,8.229999542236328,64400,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-28,8.119999885559082,8.470000267028809,7.920000076293945,8.4399995803833,158900,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-29,8.170000076293945,8.279999732971191,8.029999732971191,8.130000114440918,65500,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-30,8.140000343322754,8.220000267028809,8.0,8.15999984741211,58900,NTWK,NETSOL Technologies Inc. - Common Stock
2015-12-31,7.760000228881836,8.109999656677246,7.670000076293945,8.109999656677246,64600,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-04,7.650000095367432,7.75,7.340000152587891,7.75,134300,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-05,7.53000020980835,7.710000038146973,7.46999979019165,7.710000038146973,20100,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-06,7.320000171661377,7.480000019073486,7.300000190734863,7.420000076293945,34200,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-07,6.960000038146973,7.320000171661377,6.840000152587891,7.190000057220459,69800,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-08,7.039999961853027,7.28000020980835,6.710000038146973,7.039999961853027,78200,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-11,7.019999980926514,7.53000020980835,6.900000095367432,7.269999980926514,77900,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-12,7.0,7.170000076293945,6.909999847412109,7.170000076293945,26300,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-13,6.559999942779541,7.099999904632568,6.550000190734863,7.070000171661377,93200,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-14,6.699999809265137,6.820000171661377,6.21999979019165,6.570000171661377,88000,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-15,6.659999847412109,6.789999961853027,6.420000076293945,6.630000114440918,47900,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-19,6.25,6.659999847412109,6.190000057220459,6.599999904632568,85300,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-20,6.460000038146973,6.480000019073486,6.019999980926514,6.139999866485596,71100,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-21,6.590000152587891,6.650000095367432,6.340000152587891,6.449999809265137,44200,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-22,6.849999904632568,6.940000057220459,6.619999885559082,6.670000076293945,27800,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-25,6.659999847412109,6.949999809265137,6.630000114440918,6.849999904632568,15000,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-26,6.840000152587891,6.889999866485596,6.619999885559082,6.659999847412109,24300,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-27,6.809999942779541,6.889999866485596,6.769999980926514,6.869999885559082,18800,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-28,6.840000152587891,6.909999847412109,6.75,6.869999885559082,22000,NTWK,NETSOL Technologies Inc. - Common Stock
2016-01-29,7.150000095367432,7.239999771118164,6.840000152587891,6.840000152587891,75400,NTWK,NETSOL Technologies Inc. - Common Stock
2016-02-01,7.760000228881836,7.820000171661377,7.199999809265137,7.199999809265137,86000,NTWK,NETSOL Technologies Inc. - Common Stock
2016-02-02,7.380000114440918,7.699999809265137,7.380000114440918,7.699999809265137,39100,NTWK,NETSOL Technologies Inc. - Common Stock
2016-02-03,7.110000133514404,7.480000019073486,7.0,7.480000019073486,44800,NTWK,NETSOL Technologies Inc. - Common Stock
2016-02-04,7.139999866485596,7.389999866485596,7.090000152587891,7.090000152587891,23600,NTWK,NETSOL Technologies Inc. - Common Stock
2016-02-05,6.96999979019165,7.139999866485596,6.96999979019165,7.139999866485596,19600,NTWK,NETSOL Technologies Inc. - Common Stock
2016-02-08,7.010000228881836,7.210000038146973,6.760000228881836,6.900000095367432,37700,NTWK,NETSOL Technologies Inc. - Common Stock
2016-02-09,7.039999961853027,7.230000019073486,6.820000171661377,6.869999885559082,20300,NTWK,NETSOL Technologies Inc. - Common Stock
2016-02-10,7.300000190734863,7.340000152587891,7.079999923706055,7.170000076293945,48300,NTWK,NETSOL Technologies Inc. - Common Stock
2016-02-11,7.230000019073486,8.199999809265137,6.900000095367432,8.029999732971191,278300,NTWK,NETSOL Technologies Inc. - Common Stock
