Date,Close,High,Low,Open,Volume,Symbol,Security Name
,PFBC,PFBC,PFBC,PFBC,PFBC,,
2015-11-09,27.747318267822266,27.947603000887185,27.60095646052787,27.932196030870028,75100,PFBC,Preferred Bank - Common Stock
2015-11-10,27.955307006835938,27.955307006835938,27.462295737327963,27.693394402587458,42300,PFBC,Preferred Bank - Common Stock
2015-11-11,27.986129760742188,28.28655841406479,27.88598589677469,27.95531581204759,33100,PFBC,Preferred Bank - Common Stock
2015-11-12,27.60095977783203,27.97071828694715,27.39297006547114,27.97071828694715,49100,PFBC,Preferred Bank - Common Stock
2015-11-13,27.3775577545166,27.662579332058513,27.215788989310013,27.43148067625213,59100,PFBC,Preferred Bank - Common Stock
2015-11-16,27.49311065673828,27.531629555254668,26.915362441945057,27.1541660952815,57600,PFBC,Preferred Bank - Common Stock
2015-11-17,27.3775577545166,27.932193940736155,27.231193019595445,27.67028134720123,19900,PFBC,Preferred Bank - Common Stock
2015-11-18,27.577844619750977,27.724209366067804,26.97698748015706,27.56243764968715,71300,PFBC,Preferred Bank - Common Stock
2015-11-19,27.778133392333984,27.855165307125397,27.315933087847945,27.670284597615144,37300,PFBC,Preferred Bank - Common Stock
2015-11-20,27.839759826660156,27.963012660071417,27.716506993248895,27.832057810200414,27700,PFBC,Preferred Bank - Common Stock
2015-11-23,27.82435417175293,28.117080766923152,27.662585371229707,27.71650830473745,26500,PFBC,Preferred Bank - Common Stock
2015-11-24,27.8936767578125,27.978413613539853,27.593248224654584,27.731907999739576,22000,PFBC,Preferred Bank - Common Stock
2015-11-25,27.739612579345703,27.90138429095474,27.570141790800445,27.90138429095474,39600,PFBC,Preferred Bank - Common Stock
2015-11-27,28.001522064208984,28.086258918325463,27.570138717548605,27.85516027710331,28000,PFBC,Preferred Bank - Common Stock
2015-11-30,28.055452346801758,28.363585908365543,27.81665162824028,27.82435364491863,126300,PFBC,Preferred Bank - Common Stock
2015-12-01,27.84745979309082,28.248029225984695,27.685688090622694,28.248029225984695,28300,PFBC,Preferred Bank - Common Stock
2015-12-02,27.362150192260742,28.093965035259426,27.35444523870628,27.847459415934637,28700,PFBC,Preferred Bank - Common Stock
2015-12-03,26.96927833557129,27.55473135271758,26.946169353355565,27.46999449982178,51800,PFBC,Preferred Bank - Common Stock
2015-12-04,27.423770904541016,27.508507749117957,26.938464694183068,27.000089620234636,34000,PFBC,Preferred Bank - Common Stock
2015-12-07,27.131057739257812,27.963013659885466,26.961583985290563,27.44689331982804,53100,PFBC,Preferred Bank - Common Stock
2015-12-08,26.99239730834961,27.508517636532154,26.63034081996047,26.884551445062474,76200,PFBC,Preferred Bank - Common Stock
2015-12-09,26.3530216217041,27.308233311797853,26.214361812842437,27.015506722136625,28200,PFBC,Preferred Bank - Common Stock
2015-12-10,26.160432815551758,26.483973274082096,26.06799394393398,26.453159337349923,29300,PFBC,Preferred Bank - Common Stock
2015-12-11,25.220630645751953,25.759859832669836,25.03574996839534,25.69052994598344,55000,PFBC,Preferred Bank - Common Stock
2015-12-14,25.3284854888916,25.56728623126894,25.08197979048806,25.236043648055485,38300,PFBC,Preferred Bank - Common Stock
2015-12-15,25.983259201049805,26.083403034287095,25.497949943061865,25.559577821539882,29300,PFBC,Preferred Bank - Common Stock
2015-12-16,26.306804656982422,26.522496395255832,25.93704319340009,26.191253832290503,30700,PFBC,Preferred Bank - Common Stock
2015-12-17,26.10651397705078,26.85373589744354,25.898524279459625,26.430054486163424,21100,PFBC,Preferred Bank - Common Stock
2015-12-18,25.82919692993164,26.14503251554425,25.52876831661471,25.960154725155135,104200,PFBC,Preferred Bank - Common Stock
2015-12-21,25.682836532592773,27.11565271158352,25.420923866125868,26.060300028428482,40000,PFBC,Preferred Bank - Common Stock
2015-12-22,25.990968704223633,26.0680006272247,25.12049386913,25.652021190428147,26600,PFBC,Preferred Bank - Common Stock
2015-12-23,25.852310180664062,26.19125477277602,25.675134398066017,26.091110917018987,35200,PFBC,Preferred Bank - Common Stock
2015-12-24,26.044891357421875,26.360726940050498,25.844603658049888,25.898526591285545,8900,PFBC,Preferred Bank - Common Stock
2015-12-28,26.0602970123291,26.24517479162668,25.59809668692651,26.052592057353763,13800,PFBC,Preferred Bank - Common Stock
2015-12-29,26.052595138549805,26.453167625842017,25.86771733738704,26.245177895599156,34900,PFBC,Preferred Bank - Common Stock
2015-12-30,25.88311767578125,26.129623334515983,25.767569801200167,25.998668488941576,32000,PFBC,Preferred Bank - Common Stock
2015-12-31,25.43632698059082,26.114219003653627,25.42092000977357,25.929338292425875,30100,PFBC,Preferred Bank - Common Stock
2016-01-04,25.097379684448242,25.898521508982416,24.273124467645182,25.143597653249337,64800,PFBC,Preferred Bank - Common Stock
2016-01-05,25.275373458862305,25.33728638497214,25.15155055881344,25.197985253395817,40300,PFBC,Preferred Bank - Common Stock
2016-01-06,25.329547882080078,25.81710188280635,24.22287933005039,25.02772972283035,28900,PFBC,Preferred Bank - Common Stock
2016-01-07,24.516963958740234,25.12834097221177,24.416356904735306,25.035471559820355,46400,PFBC,Preferred Bank - Common Stock
2016-01-08,24.702693939208984,25.105117655030806,24.23835729286095,24.67173747394588,174400,PFBC,Preferred Bank - Common Stock
2016-01-11,24.455045700073242,24.903904069346805,24.261572239591782,24.8729476071488,48700,PFBC,Preferred Bank - Common Stock
2016-01-12,24.78008270263672,24.996772047059622,24.215140517412074,24.68721478639444,74300,PFBC,Preferred Bank - Common Stock
2016-01-13,23.78950309753418,24.787825661925243,23.626986054341636,24.76460978494675,45200,PFBC,Preferred Bank - Common Stock
2016-01-14,23.8359317779541,24.308007534220835,23.64245830093796,24.04488348739205,39200,PFBC,Preferred Bank - Common Stock
2016-01-15,23.967491149902344,24.06035905807395,22.61317696061391,23.448982229817073,82300,PFBC,Preferred Bank - Common Stock
2016-01-19,23.727590560913086,24.17644903395772,23.363860902508442,24.09132021931773,59100,PFBC,Preferred Bank - Common Stock
2016-01-20,23.43350601196289,23.719845906220733,22.79117418365905,23.4644609980056,52100,PFBC,Preferred Bank - Common Stock
2016-01-21,23.12394905090332,23.60376391772484,22.80665267042402,23.294206653365215,36400,PFBC,Preferred Bank - Common Stock
2016-01-22,23.626981735229492,24.106795135492888,23.046561299498112,23.588286153862768,49800,PFBC,Preferred Bank - Common Stock
2016-01-25,23.99071502685547,24.184188535136563,23.062041596671936,23.541856546686763,51500,PFBC,Preferred Bank - Common Stock
2016-01-26,24.609832763671875,24.725918064135442,23.758550400845103,24.006196286473685,41300,PFBC,Preferred Bank - Common Stock
2016-01-27,24.230615615844727,24.841990979325615,24.02940304115528,24.602085779317353,46500,PFBC,Preferred Bank - Common Stock
2016-01-28,24.718177795410156,24.996778665734343,24.331230748101046,24.331230748101046,27400,PFBC,Preferred Bank - Common Stock
