Date,Close,High,Low,Open,Volume,Symbol,Security Name
,SNOA,SNOA,SNOA,SNOA,SNOA,,
2015-11-09,1071.0,1107.0,1071.0,1071.0,98,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-10,1080.0,1107.0,1053.0,1080.0,43,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-11,1062.0,1098.0,1053.0,1098.0,81,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-12,1080.0,1080.0,1062.0,1062.0,49,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-13,990.0,1080.0,972.0,1071.0,156,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-16,1026.0,1044.0,990.0,1026.0,61,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-17,1035.0,1071.0,990.0,1044.0,108,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-18,1017.0,1035.0,1017.0,1035.0,46,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-19,1044.0,1062.0,1017.0,1026.0,95,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-20,1044.0,1062.0,1035.0,1044.0,86,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-23,1044.0,1062.0,1035.0,1062.0,61,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-24,1026.0,1062.0,990.0,1035.0,130,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-25,1053.0,1062.0,1035.0,1044.0,118,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-27,1071.0,1071.0,1044.0,1071.0,37,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-11-30,1116.0,1242.0,1035.0,1062.0,1724,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-01,1116.0,1143.0,1071.0,1134.0,213,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-02,1089.0,1125.0,1071.0,1116.0,137,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-03,1071.0,1089.0,1053.0,1062.0,183,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-04,1044.0,1080.0,1026.0,1071.0,141,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-07,1044.0,1080.0,1017.0,1053.0,103,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-08,1035.0,1044.0,1008.0,1044.0,76,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-09,1026.0,1053.0,1017.0,1017.0,35,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-10,1035.0,1035.0,1008.0,1035.0,49,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-11,1026.0,1062.0,1017.0,1062.0,110,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-14,1035.0,1044.0,1026.0,1035.0,62,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-15,1008.0,1053.0,990.0,1053.0,82,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-16,990.0,1026.0,990.0,1008.0,86,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-17,1026.0,1224.0,1008.0,1215.0,1019,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-18,1008.0,1044.0,1008.0,1035.0,162,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-21,999.0,1026.0,990.0,1026.0,164,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-22,1044.0,1080.0,990.0,1008.0,271,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-23,1044.0,1080.0,1017.0,1080.0,155,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-24,1044.0,1071.0,1035.0,1071.0,47,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-28,1044.0,1071.0,1026.0,1071.0,844,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-29,1053.0,1071.0,1035.0,1044.0,108,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-30,1026.0,1071.0,1026.0,1062.0,90,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2015-12-31,1035.0,1062.0,1008.0,1035.0,164,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-04,1035.0,1062.0,1008.0,1053.0,122,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-05,1008.0,1044.0,1008.0,1044.0,135,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-06,1071.0,1125.0,1008.0,1017.0,860,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-07,1017.0,1053.0,999.0,1053.0,343,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-08,945.0,1044.0,927.0,1035.0,277,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-11,864.0,954.0,864.0,927.0,333,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-12,801.0,909.0,783.0,909.0,246,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-13,855.0,900.0,765.0,774.0,231,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-14,846.0,864.0,765.0,828.0,143,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-15,810.0,855.0,810.0,855.0,110,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-19,783.0,846.0,738.0,828.0,162,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-20,756.0,801.0,720.0,765.0,162,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
2016-01-21,828.0,828.0,747.0,774.0,104,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock"
