Date,Close,High,Low,Open,Volume,Symbol,Security Name
,TANH,TANH,TANH,TANH,TANH,,
2015-11-09,45168.0,47980.80078125,40800.0,42336.0,18,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-10,48288.0,48960.0,44544.0,44736.0,14,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-11,45600.0,49344.0,45216.0,48288.0,8,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-12,42144.0,47424.0,41472.0,45600.0,9,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-13,41664.0,44832.0,39936.0,42720.0,3,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-16,45120.0,46752.0,41280.0,41376.0,7,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-17,45024.0,51744.0,42566.3984375,45312.0,8,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-18,50496.0,52272.0,46512.0,49824.0,11,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-19,52800.0,56064.0,51072.0,51072.0,18,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-20,51936.0,57024.0,51936.0,53376.0,19,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-23,53088.0,56371.19921875,51648.0,51648.0,11,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-24,51360.0,53347.19921875,50592.0,53280.0,11,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-25,46560.0,51840.0,44736.0,51840.0,12,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-27,48192.0,49440.0,47088.0,47232.0,4,TANH,Tantech Holdings Ltd. - Common Shares
2015-11-30,48384.0,49920.0,47520.0,48864.0,6,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-01,51360.0,53472.0,48288.0,48288.0,8,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-02,51168.0,54528.0,50304.0,54336.0,28,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-03,46752.0,53280.0,46752.0,51264.0,18,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-04,45888.0,47904.0,44544.0,47040.0,4,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-07,45120.0,48960.0,45024.0,45216.0,5,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-08,44640.0,46137.6015625,44640.0,45120.0,6,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-09,45024.0,46272.0,44640.0,44784.0,2,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-10,45408.0,47904.0,45120.0,45120.0,6,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-11,45600.0,47040.0,45120.0,45120.0,3,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-14,47040.0,47040.0,45600.0,45600.0,4,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-15,50112.0,51168.0,48192.0,48288.0,7,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-16,50688.0,51840.0,50304.0,50400.0,5,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-17,50592.0,51360.0,50112.0,50880.0,6,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-18,45024.0,50496.0,45024.0,50496.0,10,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-21,47712.0,49536.0,45331.19921875,45696.0,3,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-22,50112.0,50592.0,46656.0,47904.0,3,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-23,47712.0,50304.0,47232.0,48192.0,5,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-24,49248.0,50400.0,47308.80078125,47808.0,2,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-28,51072.0,52512.0,49392.0,50112.0,9,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-29,51264.0,52790.3984375,50112.0,51360.0,4,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-30,51360.0,52800.0,50784.0,52800.0,6,TANH,Tantech Holdings Ltd. - Common Shares
2015-12-31,50496.0,51264.0,49728.0,50140.80078125,1,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-04,52512.0,52512.0,49152.0,49440.0,1,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-05,48768.0,51936.0,48480.0,51936.0,4,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-06,47904.0,48768.0,45792.0,48576.0,4,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-07,46560.0,49536.0,45792.0,45792.0,2,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-08,48960.0,49920.0,46848.0,47808.0,7,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-11,47424.0,48960.0,46560.0,48336.0,4,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-12,44544.0,47174.3984375,44256.0,46176.0,5,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-13,43200.0,47788.80078125,43200.0,44640.0,4,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-14,41856.0,46656.0,41568.0,44160.0,2,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-15,44256.0,45408.0,43200.0,43200.0,2,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-19,46800.0,48854.3984375,44640.0,44640.0,3,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-20,43872.0,45984.0,43200.0,45984.0,4,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-21,44160.0,47904.0,44160.0,47808.0,2,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-22,44448.0,47616.0,44448.0,47232.0,9,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-25,46368.0,49920.0,45888.0,47904.0,6,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-26,47904.0,49824.0,46752.0,47040.0,6,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-27,48480.0,51168.0,48000.0,49056.0,7,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-28,51840.0,52608.0,48864.0,48864.0,6,TANH,Tantech Holdings Ltd. - Common Shares
2016-01-29,51360.0,51840.0,50880.0,51840.0,0,TANH,Tantech Holdings Ltd. - Common Shares
2016-02-01,48096.0,51840.0,48096.0,51840.0,3,TANH,Tantech Holdings Ltd. - Common Shares
2016-02-02,50496.0,50688.0,48192.0,48768.0,2,TANH,Tantech Holdings Ltd. - Common Shares
2016-02-03,49152.0,51840.0,48480.0,51744.0,3,TANH,Tantech Holdings Ltd. - Common Shares
2016-02-04,47136.0,51840.0,47136.0,49536.0,4,TANH,Tantech Holdings Ltd. - Common Shares
2016-02-05,47232.0,52608.0,46944.0,50976.0,1,TANH,Tantech Holdings Ltd. - Common Shares
