Date,Close,High,Low,Open,Volume,Symbol,Security Name
,YDKG,YDKG,YDKG,YDKG,YDKG,,
2015-11-09,109.4000015258789,110.0,109.19999694824219,109.80000305175781,9110,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-10,110.0,110.4000015258789,109.4000015258789,109.80000305175781,71755,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-11,110.19999694824219,110.80000305175781,109.4000015258789,110.0,42630,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-12,108.4000015258789,110.0,107.5999984741211,110.0,37660,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-13,107.5999984741211,108.0,106.80000305175781,108.0,23670,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-16,107.5999984741211,107.80000305175781,106.4000015258789,107.0,46955,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-17,106.80000305175781,107.4000015258789,106.0,107.0,20480,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-18,106.0,107.19999694824219,105.5999984741211,106.5999984741211,49030,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-19,107.19999694824219,108.0,105.80000305175781,106.0,61305,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-20,107.80000305175781,108.80000305175781,106.4000015258789,107.19999694824219,32860,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-23,107.80000305175781,108.4000015258789,106.80000305175781,107.80000305175781,17670,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-24,108.5999984741211,109.19999694824219,107.19999694824219,107.19999694824219,18745,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-25,109.80000305175781,110.0,108.80000305175781,109.0,18025,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-27,109.19999694824219,109.80000305175781,108.4000015258789,109.19999694824219,18150,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-11-30,109.0,109.19999694824219,108.0,108.80000305175781,27420,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-01,110.0,110.0,108.5999984741211,108.80000305175781,21205,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-02,110.5999984741211,111.19999694824219,109.19999694824219,109.19999694824219,24350,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-03,110.19999694824219,111.0,110.19999694824219,111.0,18650,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-04,110.5999984741211,111.0,109.0,110.5999984741211,22835,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-07,110.5999984741211,111.0,110.19999694824219,110.4000015258789,31005,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-08,110.5999984741211,111.0,109.4000015258789,109.4000015258789,25765,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-09,110.80000305175781,111.19999694824219,108.19999694824219,108.19999694824219,39550,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-10,111.19999694824219,111.4000015258789,110.5999984741211,111.0,10375,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-11,110.5999984741211,111.0,109.19999694824219,110.4000015258789,14560,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-14,110.0,111.19999694824219,109.80000305175781,110.5999984741211,8605,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-15,110.19999694824219,110.80000305175781,110.0,110.19999694824219,13920,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-16,110.5999984741211,111.0,109.80000305175781,110.19999694824219,12700,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-17,110.5999984741211,111.0,110.0,110.0,17475,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-18,111.0,111.19999694824219,110.4000015258789,110.4000015258789,25160,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-21,112.0,112.0,110.4000015258789,110.4000015258789,20700,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-22,111.80000305175781,112.0,111.0,111.5999984741211,19360,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-23,111.80000305175781,112.0,111.4000015258789,111.80000305175781,14725,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-24,112.5999984741211,112.80000305175781,112.0,112.0,29820,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-28,112.0,112.4000015258789,111.4000015258789,112.0,14970,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-29,112.19999694824219,112.4000015258789,111.80000305175781,112.0,10970,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-30,112.4000015258789,112.4000015258789,111.5999984741211,111.80000305175781,25765,YDKG,Yueda Digital Holding - Class A Ordinary Share
2015-12-31,111.80000305175781,112.5999984741211,111.5999984741211,112.5999984741211,9870,YDKG,Yueda Digital Holding - Class A Ordinary Share
2016-01-04,111.4000015258789,111.4000015258789,109.4000015258789,110.80000305175781,34605,YDKG,Yueda Digital Holding - Class A Ordinary Share
2016-01-05,111.19999694824219,111.4000015258789,110.19999694824219,111.0,17435,YDKG,Yueda Digital Holding - Class A Ordinary Share
2016-01-06,111.5999984741211,112.80000305175781,110.4000015258789,110.5999984741211,24060,YDKG,Yueda Digital Holding - Class A Ordinary Share
2016-01-07,110.4000015258789,111.4000015258789,110.0,110.4000015258789,42710,YDKG,Yueda Digital Holding - Class A Ordinary Share
2016-01-08,110.4000015258789,111.19999694824219,109.80000305175781,111.0,28065,YDKG,Yueda Digital Holding - Class A Ordinary Share
2016-01-11,109.0,110.19999694824219,108.5999984741211,110.19999694824219,39710,YDKG,Yueda Digital Holding - Class A Ordinary Share
2016-01-12,110.19999694824219,110.19999694824219,109.19999694824219,109.5999984741211,37535,YDKG,Yueda Digital Holding - Class A Ordinary Share
