Date,Close,High,Low,Open,Volume,Symbol,Security Name
,EXPE,EXPE,EXPE,EXPE,EXPE,,
2015-11-09,122.9664535522461,126.52780832546722,122.83349688702675,125.13175609506936,3757300,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-10,122.52009582519531,123.76420793086223,121.68437442645659,123.15638947186729,2107700,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-11,122.26370239257812,123.73571760265766,122.03577044495712,123.232380564787,2256200,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-12,121.5039291381836,122.66255770657601,121.32348484604533,121.96927021665643,2743900,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-13,118.90174865722656,122.18769800764568,118.5503663289473,121.32347253363058,3062200,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-16,116.36608123779297,117.1733202198951,114.63763731017859,116.45155752174931,5572200,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-17,115.03389739990234,118.00276229898235,113.57801417144496,117.59359188590223,2845400,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-18,119.23027038574219,119.8868407448581,115.13856636312678,115.3859735797956,4405800,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-19,121.88511657714844,123.67405108303089,118.35483565092204,119.8963629307073,4700000,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-20,120.1342544555664,122.62733295125389,119.77266485766913,122.3228417970987,2632600,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-23,118.86869049072266,121.0572780259015,117.84100553021352,120.47682673856664,1999900,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-24,115.39549255371094,117.23200069265386,114.21556208272733,116.80380228474169,2860400,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-25,117.63166809082031,117.99325771868271,115.61436139370927,115.91885983291326,1501300,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-27,117.64116668701172,118.17404434720191,115.76660266860095,118.0788826958651,707700,EXPE,"Expedia Group, Inc. - Common Stock"
2015-11-30,117.1463623046875,118.32629275945163,116.22334943917605,117.5079519050692,1560200,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-01,118.9828872680664,119.16368572376835,116.81333483890674,118.07890224937259,2261800,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-02,117.1463623046875,119.51574083154064,116.83234627130044,118.9448072089009,1489400,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-03,116.34705352783203,119.06851139352239,115.69048310556069,117.41280165153813,3310700,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-04,119.82022857666016,119.95344616808485,116.2899478842773,117.14635187187478,2009000,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-07,118.9828872680664,120.35313396430026,117.91713903101608,120.21990908233003,1622800,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-08,119.5442886352539,120.05813108308017,117.05121007631526,117.91712451371161,1309400,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-09,118.96382904052734,120.71470028733235,117.33666503311296,118.97334665736074,2949300,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-10,119.52525329589844,120.46729409563154,117.15587487119384,118.7544933015545,2589300,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-11,117.24150085449219,119.52524229624157,116.79426727825542,117.56503446148186,2941600,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-14,118.27871704101562,119.8963634857064,117.46037620151849,117.49843941031077,2455700,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-15,123.93098449707031,125.60572223311149,119.6394536213574,119.67750957279064,4148900,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-16,124.806396484375,126.62387641487226,122.084939026653,124.76832601944008,5717800,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-17,122.43702697753906,125.51055677980717,122.22768295191041,124.87301434525807,2237800,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-18,119.28736114501953,123.26486827226726,118.94479954155469,122.42750675684233,6896100,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-21,119.49671936035156,121.21903793933339,118.48806240364948,119.95346337939583,1572500,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-22,121.34272003173828,121.82801683272096,118.99237695833574,120.21037050919765,2030000,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-23,120.16278839111328,122.29428434195212,118.94479485338488,122.0849403414399,2003200,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-24,120.34359741210938,121.25709264594083,119.51573895341144,120.05812697536808,761100,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-28,119.99152374267578,121.30467910084168,118.62128445825347,120.18183979593937,1023000,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-29,121.5140151977539,122.67491770688932,120.30553912042701,120.30553912042701,1209300,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-30,120.15328979492188,121.77094361688937,119.90588980952985,121.49499077796877,1083600,EXPE,"Expedia Group, Inc. - Common Stock"
2015-12-31,118.27871704101562,120.0961898870048,117.95518339618862,119.41106664837326,1355400,EXPE,"Expedia Group, Inc. - Common Stock"
2016-01-04,114.94827270507812,116.09014003096473,113.29255564478252,115.3859887553285,3063700,EXPE,"Expedia Group, Inc. - Common Stock"
2016-01-05,114.12039947509766,116.21382505617439,112.65499866441817,115.37645627570659,3723800,EXPE,"Expedia Group, Inc. - Common Stock"
2016-01-06,113.27352142333984,114.33926952593929,110.86607964978785,111.86521168989826,2123200,EXPE,"Expedia Group, Inc. - Common Stock"
2016-01-07,109.2484359741211,112.07456605950371,108.47767586349516,111.34186916246391,2008800,EXPE,"Expedia Group, Inc. - Common Stock"
2016-01-08,106.01311492919922,110.85654324820862,105.86086211470567,110.43785526816511,2456100,EXPE,"Expedia Group, Inc. - Common Stock"
2016-01-11,105.81330108642578,107.31676524159397,103.95776493656419,106.67922279623795,2177900,EXPE,"Expedia Group, Inc. - Common Stock"
2016-01-12,106.47941589355469,107.64031862455107,104.81418823249317,106.62215114503753,1847100,EXPE,"Expedia Group, Inc. - Common Stock"
2016-01-13,101.21728515625,107.44047891855661,100.2276633971862,106.99324524034537,3646400,EXPE,"Expedia Group, Inc. - Common Stock"
2016-01-14,102.45429229736328,104.18612831376264,97.88681628369085,101.56934268536823,2696300,EXPE,"Expedia Group, Inc. - Common Stock"
2016-01-15,97.78215026855469,98.98110871195419,94.73715881306876,98.54339268756493,4698600,EXPE,"Expedia Group, Inc. - Common Stock"
