Date,Close,High,Low,Open,Volume,Symbol,Security Name
,FBIO,FBIO,FBIO,FBIO,FBIO,,
2015-11-09,43.20000076293945,45.150001525878906,42.900001525878906,43.349998474121094,2333,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-10,46.04999923706055,46.04999923706055,43.349998474121094,44.54999923706055,3393,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-11,43.349998474121094,45.45000076293945,42.599998474121094,45.45000076293945,6593,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-12,43.95000076293945,44.25,42.45000076293945,42.75,5947,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-13,45.29999923706055,47.25,43.79999923706055,43.79999923706055,9880,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-16,46.650001525878906,47.25,44.400001525878906,44.849998474121094,4840,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-17,46.95000076293945,49.5,46.20000076293945,46.5,16220,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-18,44.70000076293945,46.95000076293945,43.95000076293945,46.95000076293945,14447,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-19,44.25,45.0,42.0,44.70000076293945,10793,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-20,45.0,46.79999923706055,44.099998474121094,44.25,10167,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-23,45.0,45.0,44.25,45.0,5127,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-24,44.54999923706055,45.0,43.5,45.0,6727,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-25,45.0,45.75,44.54999923706055,45.29999923706055,3773,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-27,44.70000076293945,45.45000076293945,44.54999923706055,45.0,1007,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-11-30,44.849998474121094,45.599998474121094,43.650001525878906,45.0,3900,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-12-01,44.54999923706055,45.0,44.25,45.0,3120,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-12-02,46.79999923706055,49.20000076293945,44.400001525878906,44.54999923706055,13180,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-12-03,47.25,50.25,46.04999923706055,46.5,9907,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-12-04,47.849998474121094,49.5,43.95000076293945,45.0,9333,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-12-07,45.599998474121094,48.0,44.400001525878906,47.099998474121094,10613,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-12-08,45.599998474121094,46.95000076293945,44.70000076293945,44.70000076293945,9200,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-12-09,44.849998474121094,45.599998474121094,44.70000076293945,45.45000076293945,3120,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-12-10,42.0,45.0,41.400001525878906,45.0,13260,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-12-11,39.29999923706055,42.29999923706055,37.5,40.95000076293945,9273,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-12-14,35.70000076293945,39.29999923706055,33.29999923706055,39.29999923706055,23900,FBIO,"Fortress Biotech, Inc. - Common Stock"
2015-12-15,36.75,38.400001525878906,34.650001525878906,35.849998474121094,14333,FBIO,"Fortress Biotech, Inc. - Common Stock"
