Date,Close,High,Low,Open,Volume,Symbol,Security Name
,GEVO,GEVO,GEVO,GEVO,GEVO,,
2015-11-09,688.0,780.0,672.0,776.0,1327,GEVO,"Gevo, Inc. - Common Stock"
2015-11-10,636.0,724.0,612.0,720.0,1263,GEVO,"Gevo, Inc. - Common Stock"
2015-11-11,620.0,652.0,600.0,628.0,769,GEVO,"Gevo, Inc. - Common Stock"
2015-11-12,588.0,628.0,576.0,620.0,795,GEVO,"Gevo, Inc. - Common Stock"
2015-11-13,576.0,600.0,548.0,596.0,754,GEVO,"Gevo, Inc. - Common Stock"
2015-11-16,608.0,656.0,564.0,572.0,3932,GEVO,"Gevo, Inc. - Common Stock"
2015-11-17,564.0,628.0,528.0,600.0,2108,GEVO,"Gevo, Inc. - Common Stock"
2015-11-18,588.0,612.0,548.0,564.0,2761,GEVO,"Gevo, Inc. - Common Stock"
2015-11-19,548.0,592.0,540.0,584.0,1465,GEVO,"Gevo, Inc. - Common Stock"
2015-11-20,536.0,564.0,532.0,560.0,1043,GEVO,"Gevo, Inc. - Common Stock"
2015-11-23,576.0,592.0,468.0,536.0,3078,GEVO,"Gevo, Inc. - Common Stock"
2015-11-24,572.0,600.0,552.0,552.0,1653,GEVO,"Gevo, Inc. - Common Stock"
2015-11-25,572.0,604.0,476.0,568.0,4249,GEVO,"Gevo, Inc. - Common Stock"
2015-11-27,564.0,576.0,524.0,576.0,554,GEVO,"Gevo, Inc. - Common Stock"
2015-11-30,584.0,616.0,548.0,560.0,5335,GEVO,"Gevo, Inc. - Common Stock"
2015-12-01,540.0,592.0,528.0,576.0,2342,GEVO,"Gevo, Inc. - Common Stock"
2015-12-02,532.0,556.0,504.0,548.0,3014,GEVO,"Gevo, Inc. - Common Stock"
2015-12-03,524.0,552.0,520.0,528.0,1078,GEVO,"Gevo, Inc. - Common Stock"
2015-12-04,516.0,536.0,508.0,532.0,921,GEVO,"Gevo, Inc. - Common Stock"
