Date,Close,High,Low,Open,Volume,Symbol,Security Name
,GLBS,GLBS,GLBS,GLBS,GLBS,,
2015-11-09,2320.0,2320.0,2320.0,2320.0,0,GLBS,Globus Maritime Limited - Common Stock
2015-11-10,1800.0,1960.0,1800.0,1960.0,2,GLBS,Globus Maritime Limited - Common Stock
2015-11-11,1600.0,1880.0,1360.0,1880.0,15,GLBS,Globus Maritime Limited - Common Stock
2015-11-12,1760.0,1760.0,1480.0,1560.0,4,GLBS,Globus Maritime Limited - Common Stock
2015-11-13,1600.0,1720.0,1480.0,1720.0,3,GLBS,Globus Maritime Limited - Common Stock
2015-11-16,1400.0,1480.0,1360.0,1360.0,5,GLBS,Globus Maritime Limited - Common Stock
2015-11-17,1320.0,1400.0,1280.0,1400.0,2,GLBS,Globus Maritime Limited - Common Stock
2015-11-18,1320.0,1360.0,1200.0,1200.0,1,GLBS,Globus Maritime Limited - Common Stock
2015-11-19,1080.0,1320.0,920.0,1200.0,3,GLBS,Globus Maritime Limited - Common Stock
2015-11-20,1160.0,1200.0,1160.0,1160.0,5,GLBS,Globus Maritime Limited - Common Stock
2015-11-23,1200.0,1320.0,1160.0,1200.0,3,GLBS,Globus Maritime Limited - Common Stock
2015-11-24,1320.0,1400.0,1280.0,1280.0,4,GLBS,Globus Maritime Limited - Common Stock
2015-11-25,1200.0,1360.0,1200.0,1360.0,6,GLBS,Globus Maritime Limited - Common Stock
2015-11-27,1240.0,1320.0,1080.0,1320.0,2,GLBS,Globus Maritime Limited - Common Stock
2015-11-30,1240.0,1320.0,1240.0,1240.0,5,GLBS,Globus Maritime Limited - Common Stock
2015-12-01,1120.0,1240.0,1040.0,1240.0,3,GLBS,Globus Maritime Limited - Common Stock
2015-12-02,1280.0,1280.0,1080.0,1080.0,1,GLBS,Globus Maritime Limited - Common Stock
2015-12-03,1160.0,1320.0,1080.0,1320.0,2,GLBS,Globus Maritime Limited - Common Stock
2015-12-04,1080.0,1160.0,1080.0,1160.0,4,GLBS,Globus Maritime Limited - Common Stock
2015-12-07,1160.0,1320.0,1080.0,1080.0,2,GLBS,Globus Maritime Limited - Common Stock
2015-12-08,1080.0,1200.0,1040.0,1080.0,7,GLBS,Globus Maritime Limited - Common Stock
2015-12-09,1120.0,1240.0,1040.0,1040.0,2,GLBS,Globus Maritime Limited - Common Stock
2015-12-10,1040.0,1040.0,1040.0,1040.0,0,GLBS,Globus Maritime Limited - Common Stock
2015-12-11,920.0,1200.0,880.0,880.0,3,GLBS,Globus Maritime Limited - Common Stock
2015-12-14,1000.0,1000.0,960.0,960.0,1,GLBS,Globus Maritime Limited - Common Stock
2015-12-15,840.0,1360.0,840.0,1000.0,1,GLBS,Globus Maritime Limited - Common Stock
2015-12-16,840.0,920.0,840.0,840.0,4,GLBS,Globus Maritime Limited - Common Stock
2015-12-17,680.0,920.0,600.0,920.0,6,GLBS,Globus Maritime Limited - Common Stock
2015-12-18,720.0,720.0,720.0,720.0,0,GLBS,Globus Maritime Limited - Common Stock
2015-12-21,800.0,920.0,800.0,920.0,3,GLBS,Globus Maritime Limited - Common Stock
2015-12-22,680.0,720.0,680.0,720.0,2,GLBS,Globus Maritime Limited - Common Stock
2015-12-23,1000.0,1000.0,520.0,720.0,25,GLBS,Globus Maritime Limited - Common Stock
2015-12-24,720.0,960.0,600.0,960.0,12,GLBS,Globus Maritime Limited - Common Stock
2015-12-28,760.0,1000.0,760.0,1000.0,8,GLBS,Globus Maritime Limited - Common Stock
2015-12-29,640.0,800.0,640.0,800.0,2,GLBS,Globus Maritime Limited - Common Stock
2015-12-30,600.0,680.0,520.0,680.0,6,GLBS,Globus Maritime Limited - Common Stock
2015-12-31,560.0,680.0,560.0,600.0,3,GLBS,Globus Maritime Limited - Common Stock
2016-01-04,600.0,600.0,600.0,600.0,1,GLBS,Globus Maritime Limited - Common Stock
2016-01-05,600.0,680.0,600.0,640.0,1,GLBS,Globus Maritime Limited - Common Stock
