Date,Close,High,Low,Open,Volume,Symbol,Security Name
,HERZ,HERZ,HERZ,HERZ,HERZ,,
2015-11-09,2.2443158626556396,2.2631760322944166,2.234886087796802,2.2474594825625616,26781,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-10,2.219170331954956,2.2851797048528844,2.2065969335692555,2.2317435753603365,40119,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-11,2.209739923477173,2.2537462690045076,2.2065966130823633,2.209739923477173,34019,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-12,2.206596612930298,2.247459803040304,2.206596612930298,2.2097399233248907,8686,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-13,2.093437910079956,2.2065964563335276,2.087150979776343,2.200309990970774,90889,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-16,2.156303882598877,2.1877369877255948,2.09029482677368,2.099724603331392,30089,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-17,2.1217269897460938,2.1657333238112897,2.106010751826181,2.1657333238112897,16441,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-18,2.1217269897460938,2.1468734663547773,2.1217269897460938,2.1217269897460938,14062,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-19,2.090294599533081,2.146873872649707,2.0745780486783034,2.1060111503878582,21611,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-20,2.1405880451202393,2.150017823462615,2.0965816896142653,2.0965816896142653,40843,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-23,2.162590742111206,2.1720205190330413,2.1468741889409655,2.1500174995750134,30710,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-24,2.181450366973877,2.2128833148910925,2.1468739537866184,2.1594473499259137,16854,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-25,2.2223126888275146,2.2380292374335964,2.0871506807757414,2.1657334238061496,79411,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-27,2.206596612930298,2.2380297168762278,2.2003101471214093,2.2191700094889675,5273,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-11-30,2.209739923477173,2.231743251221138,2.178307129489672,2.209739923477173,24506,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-12-01,2.187736749649048,2.231743092037541,2.1720201987960146,2.231743092037541,25230,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-12-02,2.184593677520752,2.206596696132251,2.1814505219879408,2.1877369880338664,21817,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-12-03,2.184593677520752,2.190880143566678,2.1751635910011045,2.190880143566678,19129,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-12-04,2.194023847579956,2.197167158212755,2.175163673822542,2.194023847579956,17061,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-12-07,2.128013849258423,2.168876565426508,2.128013849258423,2.168876565426508,29883,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-12-08,2.1374435424804688,2.1971664245617175,2.09029420869263,2.096580672878819,33191,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-12-09,2.093437910079956,2.2097397665050473,2.090294599908436,2.124870856814869,134937,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
2015-12-10,2.090294599533081,2.1154409259204385,2.0871509794015526,2.0934379097040363,37121,HERZ,"Herzfeld Credit Income Fund, Inc.  - Closed End Fund"
