Date,Close,High,Low,Open,Volume,Symbol,Security Name
,NCPL,NCPL,NCPL,NCPL,NCPL,,
2015-11-09,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2015-11-10,700.0,700.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2015-11-11,560.0,560.0,420.0,420.0,1,NCPL,Netcapital Inc. - Common Stock
2015-11-12,560.0,560.0,560.0,560.0,0,NCPL,Netcapital Inc. - Common Stock
2015-11-13,420.0,420.0,280.0,420.0,3,NCPL,Netcapital Inc. - Common Stock
2015-11-16,280.0,420.0,280.0,420.0,3,NCPL,Netcapital Inc. - Common Stock
2015-11-17,420.0,420.0,280.0,280.0,1,NCPL,Netcapital Inc. - Common Stock
2015-11-18,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2015-11-19,280.0,280.0,280.0,280.0,1,NCPL,Netcapital Inc. - Common Stock
2015-11-20,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2015-11-23,420.0,420.0,280.0,280.0,4,NCPL,Netcapital Inc. - Common Stock
2015-11-24,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2015-11-25,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2015-11-27,560.0,560.0,420.0,420.0,5,NCPL,Netcapital Inc. - Common Stock
2015-11-30,840.0,840.0,420.0,420.0,7,NCPL,Netcapital Inc. - Common Stock
2015-12-01,700.0,700.0,700.0,700.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-02,700.0,700.0,560.0,560.0,1,NCPL,Netcapital Inc. - Common Stock
2015-12-03,560.0,700.0,560.0,700.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-04,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-07,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-08,420.0,420.0,420.0,420.0,1,NCPL,Netcapital Inc. - Common Stock
2015-12-09,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-10,420.0,420.0,420.0,420.0,1,NCPL,Netcapital Inc. - Common Stock
2015-12-11,280.0,420.0,280.0,420.0,5,NCPL,Netcapital Inc. - Common Stock
2015-12-14,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-15,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-16,280.0,280.0,280.0,280.0,1,NCPL,Netcapital Inc. - Common Stock
2015-12-17,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-18,420.0,420.0,280.0,280.0,2,NCPL,Netcapital Inc. - Common Stock
2015-12-21,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-22,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-23,280.0,280.0,280.0,280.0,1,NCPL,Netcapital Inc. - Common Stock
2015-12-24,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-28,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-29,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-30,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2015-12-31,560.0,560.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2016-01-04,560.0,560.0,560.0,560.0,0,NCPL,Netcapital Inc. - Common Stock
2016-01-05,280.0,280.0,280.0,280.0,2,NCPL,Netcapital Inc. - Common Stock
2016-01-06,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2016-01-07,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2016-01-08,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2016-01-11,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2016-01-12,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2016-01-13,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2016-01-14,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2016-01-15,420.0,420.0,420.0,420.0,0,NCPL,Netcapital Inc. - Common Stock
2016-01-19,280.0,280.0,280.0,280.0,1,NCPL,Netcapital Inc. - Common Stock
2016-01-20,280.0,280.0,280.0,280.0,4,NCPL,Netcapital Inc. - Common Stock
2016-01-21,140.0,140.0,140.0,140.0,4,NCPL,Netcapital Inc. - Common Stock
2016-01-22,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-01-25,280.0,280.0,140.0,140.0,4,NCPL,Netcapital Inc. - Common Stock
2016-01-26,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2016-01-27,140.0,280.0,140.0,280.0,30,NCPL,Netcapital Inc. - Common Stock
2016-01-28,140.0,140.0,140.0,140.0,9,NCPL,Netcapital Inc. - Common Stock
2016-01-29,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-01,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-02,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-03,140.0,140.0,140.0,140.0,4,NCPL,Netcapital Inc. - Common Stock
2016-02-04,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-05,140.0,140.0,140.0,140.0,1,NCPL,Netcapital Inc. - Common Stock
2016-02-08,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-09,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-10,140.0,140.0,140.0,140.0,1,NCPL,Netcapital Inc. - Common Stock
2016-02-11,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-12,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-16,140.0,140.0,140.0,140.0,1,NCPL,Netcapital Inc. - Common Stock
2016-02-17,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-18,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-19,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-22,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-23,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-24,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-25,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-26,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-02-29,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-01,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-02,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-03,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-04,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-07,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-08,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-09,140.0,140.0,140.0,140.0,1,NCPL,Netcapital Inc. - Common Stock
2016-03-10,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-11,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-14,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-15,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-16,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-17,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-18,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-21,280.0,280.0,140.0,140.0,9,NCPL,Netcapital Inc. - Common Stock
2016-03-22,140.0,140.0,140.0,140.0,1,NCPL,Netcapital Inc. - Common Stock
2016-03-23,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-24,420.0,420.0,280.0,280.0,10,NCPL,Netcapital Inc. - Common Stock
2016-03-28,420.0,420.0,280.0,280.0,3,NCPL,Netcapital Inc. - Common Stock
2016-03-29,280.0,280.0,280.0,280.0,7,NCPL,Netcapital Inc. - Common Stock
2016-03-30,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2016-03-31,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2016-04-01,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2016-04-04,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2016-04-05,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2016-04-06,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2016-04-07,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2016-04-08,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2016-04-11,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2016-04-12,280.0,280.0,280.0,280.0,0,NCPL,Netcapital Inc. - Common Stock
2016-04-13,280.0,280.0,280.0,280.0,1,NCPL,Netcapital Inc. - Common Stock
2016-04-14,140.0,280.0,140.0,280.0,5,NCPL,Netcapital Inc. - Common Stock
2016-04-15,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
2016-04-18,140.0,140.0,140.0,140.0,0,NCPL,Netcapital Inc. - Common Stock
