Date,Close,High,Low,Open,Volume,Symbol,Security Name
,OBLG,OBLG,OBLG,OBLG,OBLG,,
2015-11-09,4080.0,4200.0,4080.0,4200.0,3,OBLG,Oblong Inc. - Common Stock
2015-11-10,4140.0,4200.0,4080.0,4200.0,0,OBLG,Oblong Inc. - Common Stock
2015-11-11,3840.0,4140.0,3420.0,4080.0,7,OBLG,Oblong Inc. - Common Stock
2015-11-12,3600.0,3780.0,2700.0,3480.0,5,OBLG,Oblong Inc. - Common Stock
2015-11-13,3540.0,3600.0,3540.0,3600.0,0,OBLG,Oblong Inc. - Common Stock
2015-11-16,3540.0,3540.0,3480.0,3540.0,1,OBLG,Oblong Inc. - Common Stock
2015-11-17,3480.0,3480.0,3300.0,3480.0,1,OBLG,Oblong Inc. - Common Stock
2015-11-18,3420.0,3780.0,3420.0,3540.0,1,OBLG,Oblong Inc. - Common Stock
2015-11-19,3420.0,3600.0,3300.0,3420.0,2,OBLG,Oblong Inc. - Common Stock
2015-11-20,3240.0,3420.0,2940.0,3420.0,2,OBLG,Oblong Inc. - Common Stock
2015-11-23,3180.0,3360.0,3060.0,3120.0,1,OBLG,Oblong Inc. - Common Stock
2015-11-24,3000.0,3060.0,2760.0,2760.0,9,OBLG,Oblong Inc. - Common Stock
2015-11-25,3000.0,3060.0,2820.0,3060.0,1,OBLG,Oblong Inc. - Common Stock
2015-11-27,3000.0,3000.0,2760.0,2760.0,2,OBLG,Oblong Inc. - Common Stock
2015-11-30,3000.0,3000.0,2700.0,2700.0,1,OBLG,Oblong Inc. - Common Stock
2015-12-01,3000.0,3180.0,2820.0,2940.0,1,OBLG,Oblong Inc. - Common Stock
2015-12-02,3000.0,3000.0,3000.0,3000.0,0,OBLG,Oblong Inc. - Common Stock
2015-12-03,2940.0,2940.0,2700.0,2880.0,3,OBLG,Oblong Inc. - Common Stock
2015-12-04,2880.0,2940.0,2880.0,2940.0,2,OBLG,Oblong Inc. - Common Stock
2015-12-07,3000.0,3180.0,2460.0,2880.0,5,OBLG,Oblong Inc. - Common Stock
2015-12-08,3000.0,3000.0,2880.0,3000.0,4,OBLG,Oblong Inc. - Common Stock
2015-12-09,3000.0,3000.0,2880.0,3000.0,1,OBLG,Oblong Inc. - Common Stock
2015-12-10,3000.0,3120.0,2880.0,3000.0,3,OBLG,Oblong Inc. - Common Stock
2015-12-11,2940.0,3240.0,2880.0,3180.0,3,OBLG,Oblong Inc. - Common Stock
2015-12-14,2880.0,2940.0,2700.0,2940.0,2,OBLG,Oblong Inc. - Common Stock
2015-12-15,2880.0,3000.0,2700.0,2700.0,3,OBLG,Oblong Inc. - Common Stock
2015-12-16,2940.0,3120.0,2700.0,2760.0,8,OBLG,Oblong Inc. - Common Stock
2015-12-17,3120.0,3120.0,2880.0,2880.0,1,OBLG,Oblong Inc. - Common Stock
2015-12-18,2940.0,3360.0,2940.0,3120.0,7,OBLG,Oblong Inc. - Common Stock
2015-12-21,3060.0,3120.0,2880.0,3060.0,2,OBLG,Oblong Inc. - Common Stock
2015-12-22,3120.0,3180.0,3060.0,3180.0,1,OBLG,Oblong Inc. - Common Stock
2015-12-23,3060.0,3120.0,3060.0,3120.0,3,OBLG,Oblong Inc. - Common Stock
2015-12-24,3180.0,3240.0,3180.0,3240.0,0,OBLG,Oblong Inc. - Common Stock
2015-12-28,3060.0,3240.0,3060.0,3180.0,1,OBLG,Oblong Inc. - Common Stock
