Date,Close,High,Low,Open,Volume,Symbol,Security Name
,PYZ,PYZ,PYZ,PYZ,PYZ,,
2015-11-09,45.077064514160156,45.077064514160156,44.73591412539581,45.023200465788584,2700,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-10,44.744873046875,44.744873046875,44.53838628349826,44.601229932146744,1700,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-11,44.682037353515625,44.771813031933895,44.493506374003694,44.74488101335294,8000,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-12,43.640625,44.23315339908081,43.631645377063315,44.224173776144134,10600,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-13,44.10745620727539,44.215187685353094,43.43412847602636,43.5328837578984,12500,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-16,44.71794128417969,44.762829115648934,43.820170955906654,44.08950136944416,6100,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-17,45.24762725830078,45.310470909168025,44.96931721537289,45.166827789368305,12500,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-18,46.163352966308594,46.17233258827799,45.32842963343854,45.32842963343854,3200,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-19,45.93891143798828,46.16335404636162,45.93891143798828,46.16335404636162,2400,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-20,45.85811996459961,46.16335865472498,45.76834085745442,46.16335865472498,9200,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-23,45.96584701538086,46.163354182520706,45.741404406345524,45.741404406345524,1800,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-24,46.48654556274414,46.48654556274414,45.75037418241334,45.75037418241334,2400,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-25,46.35187911987305,46.47756640733367,46.27107966011668,46.47756640733367,2500,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-27,46.39677810668945,46.47757758587928,46.28904660934386,46.47757758587928,3500,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-11-30,46.5224609375,46.773835548636626,46.34290617609288,46.423705647489975,9500,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-12-01,46.513492584228516,46.639179910991764,46.513492584228516,46.56735662442831,1900,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
2015-12-02,46.190284729003906,46.24414875764133,46.13641727564442,46.190284729003906,1000,PYZ,Invesco Dorsey Wright Basic Materials Momentum ETF
