Date,Close,High,Low,Open,Volume,Symbol,Security Name
,SLNO,SLNO,SLNO,SLNO,SLNO,,
2015-11-09,137.25,138.75,132.75,136.9499969482422,289,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-10,144.0,145.5,135.0,135.0,784,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-11,140.25,147.0,132.0,147.0,455,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-12,141.75,143.25,133.5,140.25,233,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-13,135.0,144.0,135.0,142.5,324,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-16,134.25,137.25,132.0,135.75,245,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-17,132.0,134.25,131.25,132.0749969482422,355,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-18,133.5,138.0749969482422,129.0,130.5,1211,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-19,142.5,194.25,140.25,146.25,20949,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-20,135.75,150.75,135.0,141.75,1464,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-23,139.5,140.25,130.5,137.25,888,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-24,156.0,172.5,141.0,141.0,2571,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-25,147.75,158.47500610351562,142.5,145.5,1136,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-27,148.5,158.625,142.5,147.0,729,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-11-30,150.0,161.25,147.0,161.25,923,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-01,147.0,154.5,147.0,147.75,892,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-02,148.5,151.5,147.0,150.0,252,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-03,151.35000610351562,151.35000610351562,146.25,147.75,155,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-04,149.02499389648438,150.75,146.25,150.75,403,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-07,135.0,148.9499969482422,135.0,147.0,861,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-08,136.4250030517578,147.75,135.0,138.75,548,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-09,132.75,138.75,131.25,138.4499969482422,397,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-10,132.75,132.97500610351562,127.5,131.25,621,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-11,131.25,138.0,129.0,131.25,371,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-14,129.75,144.0,129.0,144.0,424,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-15,129.0,131.25,117.0,130.5,528,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-16,124.5,129.0,123.75,124.5,423,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-17,113.25,123.75,110.25,117.0,1225,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-18,120.0,129.89999389648438,112.5,115.80000305175781,403,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-21,142.5,165.0,138.75,138.75,8223,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-22,156.0,161.25,137.625,140.25,2863,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-23,156.75,159.0,150.0,150.0,777,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-24,161.25,161.25,152.25,153.75,161,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-28,153.0,157.5,146.25,153.0,885,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-29,153.0,153.0,147.3000030517578,151.5,223,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-30,140.25,152.02499389648438,133.5,148.5,785,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2015-12-31,138.75,149.02499389648438,128.25,141.75,3171,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2016-01-04,138.75,147.0,131.25,140.02499389648438,184,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2016-01-05,135.75,146.1750030517578,131.25,142.5,513,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2016-01-06,128.25,142.5,128.25,138.75,436,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2016-01-07,126.75,136.5,120.0,127.5,436,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
2016-01-08,120.75,129.75,120.75,124.5,356,SLNO,"Soleno Therapeutics, Inc. - Common Stock"
