Date,Close,High,Low,Open,Volume,Symbol,Security Name
,SPCB,SPCB,SPCB,SPCB,SPCB,,
2015-11-09,1576.0,1622.0,1574.0,1598.0,238,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-10,1480.0,1572.0,1446.0,1572.0,566,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-11,1488.0,1510.0,1476.0,1500.0,205,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-12,1518.0,1552.0,1484.0,1496.0,429,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-13,1490.0,1518.0,1478.0,1512.0,463,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-16,1750.0,1796.0,1488.0,1488.0,1926,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-17,1580.0,1774.0,1564.0,1768.0,1026,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-18,1568.0,1598.0,1530.0,1588.0,493,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-19,1534.0,1590.0,1520.0,1552.0,577,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-20,1542.0,1614.0,1524.0,1524.0,496,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-23,1496.0,1550.0,1478.0,1540.0,1160,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-24,1546.0,1554.0,1478.0,1482.0,273,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-25,1566.0,1630.0,1522.0,1522.0,865,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-27,1540.0,1610.0,1524.0,1552.0,771,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-11-30,920.0,1200.0,908.0,1184.0,16689,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-12-01,988.0,996.0,936.0,950.0,5170,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-12-02,948.0,996.0,936.0,988.0,2164,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-12-03,920.0,952.0,906.0,952.0,1500,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-12-04,950.0,980.0,904.0,914.0,1749,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-12-07,940.0,1000.0,926.0,960.0,1636,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-12-08,972.0,982.0,924.0,926.0,954,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-12-09,1010.0,1056.0,970.0,970.0,1936,SPCB,"SuperCom, Ltd. - Ordinary Shares"
2015-12-10,1008.0,1038.0,990.0,1032.0,1029,SPCB,"SuperCom, Ltd. - Ordinary Shares"
