Date,Close,High,Low,Open,Volume,Symbol,Security Name
,TENX,TENX,TENX,TENX,TENX,,
2015-11-09,105600.0,107840.0,103680.0,104960.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-10,105280.0,105600.0,102400.0,103680.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-11,104960.0,105280.0,103040.0,105280.0,4,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-12,103360.0,104960.0,102400.0,104928.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-13,102720.0,103680.0,100800.0,103360.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-16,102080.0,104640.0,99520.0,101440.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-17,102400.0,103360.0,101760.0,103360.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-18,102720.0,103840.0,95360.0,102400.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-19,103680.0,104320.0,100800.0,102400.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-20,102400.0,103040.0,100800.0,102720.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-23,102080.0,104960.0,101120.0,101440.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-24,103040.0,103680.0,100480.0,100480.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-25,101760.0,104000.0,101760.0,102400.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-27,104640.0,105600.0,101120.0,101120.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-11-30,103680.0,104960.0,102400.0,102720.0,4,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-01,103040.0,104320.0,102400.0,103040.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-02,103040.0,104960.0,102400.0,103040.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-03,103456.0,103680.0,102400.0,103040.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-04,102400.0,103360.0,95360.0,103360.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-07,102720.0,105600.0,102400.0,102400.0,2,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-08,102400.0,105600.0,102400.0,102400.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-09,101120.0,103040.0,99520.0,103040.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-10,102080.0,102720.0,100480.0,100480.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-11,100480.0,104320.0,100480.0,100800.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-14,101440.0,101440.0,100480.0,101440.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-15,102400.0,103360.0,100480.0,102080.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-16,102720.0,104000.0,102400.0,102400.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-17,101760.0,104000.0,101760.0,101760.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-18,100800.0,102400.0,98240.0,100480.0,3,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-21,101440.0,102400.0,97408.0,100160.0,2,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-22,101120.0,102400.0,98560.0,101760.0,2,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-23,105280.0,107840.0,100480.0,100480.0,7,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-24,106560.0,108800.0,103680.0,108480.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-28,106560.0,108800.0,104960.0,104960.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-29,106880.0,107840.0,104640.0,106240.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-30,104000.0,107520.0,103680.0,107520.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2015-12-31,104960.0,106880.0,103360.0,104320.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2016-01-04,101760.0,104000.0,101440.0,101760.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2016-01-05,101440.0,107840.0,101440.0,107840.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2016-01-06,102720.0,104960.0,101280.0,101440.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2016-01-07,97600.0,102080.0,95680.0,102080.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2016-01-08,96000.0,99840.0,96000.0,99840.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2016-01-11,96960.0,98880.0,96000.0,96352.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2016-01-12,95360.0,97280.0,94400.0,96960.0,0,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2016-01-13,89600.0,95360.0,87040.0,95360.0,1,TENX,"Tenax Therapeutics, Inc. - Common Stock"
2016-01-14,87040.0,93536.0,84800.0,93536.0,4,TENX,"Tenax Therapeutics, Inc. - Common Stock"
